"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
0	1.79901754637071	0.875	0	0	"RPS4Y1"	0.875
0	1.65500648526583	0.995	0.931	0	"MT-ATP8"	0.0639999999999999
0	1.20742815206876	0.787	0.308	0	"HLA-DQB1"	0.479
0	0.862394940768867	0.955	0.833	0	"RPS29"	0.122
0	0.811495065962174	0.999	0.998	0	"MALAT1"	0.001
0	0.548827308962489	0.983	0.991	0	"RPS27"	-0.00800000000000001
0	-0.476723906508852	0.97	0.996	0	"RPL41"	-0.026
0	-0.788497519611641	0.755	0.908	0	"BTG1"	-0.153
0	-0.860388448827797	0.882	0.989	0	"DUSP1"	-0.107
0	-0.914722990026489	0.899	0.978	0	"JUNB"	-0.079
0	-0.941540638917289	0.103	0.606	0	"RP11-160E2.6"	-0.503
0	-1.0354192558441	0.472	0.81	0	"CEBPD"	-0.338
0	-1.04780575307131	0	0.546	0	"XIST"	-0.546
0	-1.10080424983254	0.638	0.877	0	"KLF4"	-0.239
0	-1.11862710680256	0.386	0.767	0	"LINC00936"	-0.381
0	-1.14043682738166	0.591	0.919	0	"ZFP36L2"	-0.328
0	-1.34723596102351	0.388	0.83	0	"RGS2"	-0.442
0	-1.37247374424476	0.831	0.967	0	"NFKBIA"	-0.136
0	-1.42003881843568	0.806	0.944	0	"IER2"	-0.138
0	-1.56580768193911	0.033	0.5	0	"CXCL8"	-0.467
0	-1.61522647992366	0.874	0.996	0	"FOS"	-0.122
0	-2.24770356527006	0.349	0.956	0	"FOSB"	-0.607
0	-2.24864247161062	0.466	0.964	0	"JUN"	-0.498
2.03686179577363e-307	-1.59804372758867	0.111	0.537	9.17972874119259e-303	"IL1B"	-0.426
1.9321442454701e-300	-0.885706417948738	0.692	0.875	8.70778768548463e-296	"PPP1R15A"	-0.183
8.84884769935367e-300	-1.00895239320455	0.104	0.535	3.98799868114471e-295	"RNU12"	-0.431
6.96397337465422e-295	0.505663950230009	0.991	0.977	3.13852352048916e-290	"HLA-C"	0.014
7.2354757527673e-288	0.505713079402758	0.999	0.999	3.26088421225717e-283	"MT-CO3"	0
1.68338624955913e-285	-0.943748603263517	0.471	0.788	7.5866851495131e-281	"NFKBIZ"	-0.317
6.24171907915318e-285	-0.509945740558052	0.944	0.984	2.81301795459276e-280	"CYBA"	-0.04
1.19043997938317e-283	-0.711477553356928	0.741	0.882	5.36507489908406e-279	"PNRC1"	-0.141
2.55871840402019e-275	-1.01746101403278	0.142	0.558	1.15316321032382e-270	"PTCH2"	-0.416
1.19162959915524e-269	0.636182344091835	0.999	0.997	5.37043627747282e-265	"MT-ATP6"	0.002
2.96183653952256e-254	-0.774103271198966	0.065	0.435	1.33484049163203e-249	"GIMAP7"	-0.37
1.17281295102614e-251	-0.85073005390721	0.716	0.872	5.28563340768462e-247	"MNDA"	-0.156
5.96652602688372e-250	0.370000611206086	0.976	0.993	2.68899394979595e-245	"RPS3A"	-0.017
4.29584195379855e-243	0.366226494624518	0.982	0.996	1.93605005173793e-238	"TPT1"	-0.014
5.12811955539132e-238	-0.813147861121048	0.472	0.789	2.31114092122376e-233	"KLF2"	-0.317
1.63909988139279e-235	-1.72844104036485	0.088	0.439	7.38709534546102e-231	"CCL3"	-0.351
6.78774274514714e-235	-0.385262310500785	0.971	0.994	3.05909990038291e-230	"RPS2"	-0.023
3.08917749991223e-234	0.351773125746957	0.994	0.996	1.39223051566044e-229	"EEF1A1"	-0.002
4.4055923509757e-226	-0.881101545231151	0.13	0.487	1.98551236073773e-221	"NR4A2"	-0.357
2.73826451512577e-212	-1.27847864208411	0.242	0.57	1.23408105167688e-207	"EGR1"	-0.328
2.3582847413362e-200	-0.670408645106705	0.693	0.88	1.0628317672254e-195	"JUND"	-0.187
3.02113305291324e-199	0.422676872108501	0.948	0.904	1.36156424428694e-194	"RPL38"	0.0439999999999999
2.67014028835509e-198	-0.70488928542819	0.539	0.765	1.20337882515587e-193	"NBPF26"	-0.226
3.57997127710661e-198	-0.763505623914312	0.388	0.668	1.61342145516641e-193	"DNAJA1"	-0.28
5.84893881604559e-198	0.501238327280642	0.998	0.993	2.63599974561543e-193	"MT-CYB"	0.005
1.06172255431486e-195	1.14608572145368	0.65	0.282	4.7849712077862e-191	"IFITM3"	0.368
5.5064482078412e-195	-0.875329378875782	0.437	0.728	2.48164607830987e-190	"RHOB"	-0.291
1.03755420638161e-189	-0.805126395270354	0.179	0.51	4.67604929732062e-185	"ATF3"	-0.331
1.174434442693e-189	0.313724890006195	0.992	0.997	5.29294114632882e-185	"B2M"	-0.005
5.0015398532792e-186	-0.876223460971986	0.155	0.475	2.25409398107587e-181	"NR4A1"	-0.32
1.02578054042957e-185	-0.628223638661163	0.133	0.448	4.62298773960799e-181	"CTD-2192J16.22"	-0.315
1.3446039202689e-178	0.415447744267954	0.257	0	6.05986094786786e-174	"DDX3Y"	0.257
1.10687798408784e-173	-0.716417022132972	0.273	0.595	4.98847769868707e-169	"TNFAIP3"	-0.322
2.24463660070768e-167	0.38204192892907	0.243	0	1.01161282320694e-162	"UTY"	0.243
5.07953214018877e-165	-0.870461906732788	0.033	0.284	2.28924354494028e-160	"RPPH1"	-0.251
2.70373335658614e-161	0.572861333905134	0.606	0.253	1.21851854914624e-156	"TMEM176B"	0.353
1.77526331705764e-160	0.28173738286517	0.983	0.987	8.00075671731537e-156	"RPS9"	-0.004
3.19882624297116e-156	0.611266974090459	0.682	0.354	1.44164701118224e-151	"IRF2BP2"	0.328
4.95789768704542e-156	-0.672377924135247	0.229	0.508	2.23442532959763e-151	"GIMAP4"	-0.279
2.0318377176834e-155	0.314964830253996	0.974	0.989	9.15708622605555e-151	"SH3BGRL3"	-0.015
