"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
0	3.6496324182008	0.999	0.273	0	"MT-ATP8"	0.726
0	2.72455773063996	0.968	0	0	"ATP5E"	0.968
0	2.69922830619335	0.968	0	0	"GNB2L1"	0.968
0	2.25871934927136	0.967	0.177	0	"HLA-DRB5"	0.79
0	2.19293596018274	0.986	0.603	0	"AC090498.1"	0.383
0	2.16683920000945	0.952	0	0	"ATP5G2"	0.952
0	2.05502161981564	0.998	0.753	0	"CD74"	0.245
0	1.96494067270282	0.945	0	0	"ATP5L"	0.945
0	1.86740814189206	0.998	0.749	0	"MT-ND4L"	0.249
0	1.86068869056923	0.922	0.088	0	"NME2"	0.834
0	1.85328727901524	0.884	0.091	0	"EEF1G"	0.793
0	1.75182102577445	0.943	0.402	0	"HLA-DQB1"	0.541
0	1.7376636765128	0.933	0.351	0	"HLA-DQA1"	0.582
0	1.72908235159638	0.949	0.343	0	"GABARAP"	0.606
0	1.69498501379139	0.899	0.012	0	"ATP6V0C"	0.887
0	1.6560875370455	0.981	0.654	0	"HLA-DRB1"	0.327
0	1.59772015879782	0.975	0.566	0	"HLA-DPA1"	0.409
0	1.51128820723309	0.824	0	0	"FYB"	0.824
0	1.41779971248128	0.889	0	0	"TCEB2"	0.889
0	1.41634277997416	0.969	0.506	0	"VIM"	0.463
0	1.40524159602382	0.982	0.513	0	"ZFP36"	0.469
0	1.39510822352747	0.913	0.081	0	"RNASEK"	0.832
0	1.37860768672106	0.856	0	0	"ATP5G3"	0.856
0	1.37709190531681	0.817	0	0	"C10orf54"	0.817
0	1.33382906468483	0.864	0	0	"C14orf2"	0.864
0	1.32496233826121	0.859	0	0	"USMG5"	0.859
0	1.28714041538574	0.852	0	0	"ATP5J2"	0.852
0	1.25993622065951	0.725	0	0	"FAM26F"	0.725
0	1.22280465604754	0.825	0	0	"ATP5B"	0.825
0	1.20944826572444	0.74	0	0	"SELK"	0.74
0	1.10007275045401	0.815	0	0	"ATP5I"	0.815
0	1.06617403722352	0.806	0	0	"ATP5H"	0.806
0	1.06467001532367	0.8	0	0	"SHFM1"	0.8
0	1.04327304298273	0.789	0	0	"C11orf31"	0.789
0	1.03333429050063	0.788	0	0	"ATP5J"	0.788
0	1.01338706170708	0.76	0	0	"ATP5F1"	0.76
0	1.00583620521709	0.759	0	0	"ATP5C1"	0.759
0	0.980699048609075	0.717	0	0	"CECR1"	0.717
0	0.950533747115157	0.763	0	0	"C19orf43"	0.763
0	0.919036951626462	0.718	0	0	"ATP5A1"	0.718
0	0.888295348257705	0.724	0	0	"C14orf166"	0.724
0	0.875023615946721	0.704	0	0	"GLTSCR2"	0.704
0	-0.892728073299554	0	0.423	0	"RTRAF"	-0.423
0	-0.928650742792962	0	0.402	0	"SMIM26"	-0.402
0	-0.97158978423238	0	0.432	0	"SELENOH"	-0.432
0	-0.974175719974644	0	0.46	0	"SEM1"	-0.46
0	-1.03935384091229	0	0.408	0	"SELENOW"	-0.408
0	-1.08424747686832	0	0.398	0	"VSIR"	-0.398
0	-1.08712351130804	0	0.5	0	"ATP5PB"	-0.5
0	-1.15535921839241	0	0.454	0	"ATP5MC1"	-0.454
0	-1.16148846222404	0	0.497	0	"COPS9"	-0.497
0	-1.18393135742175	0	0.514	0	"ATP5PD"	-0.514
0	-1.27485536266134	0	0.532	0	"ATP5F1C"	-0.532
0	-1.28990001037634	0.934	0.895	0	"RPL7"	0.039
0	-1.32605850177299	0	0.568	0	"TRIR"	-0.568
0	-1.32962942574017	0.996	0.986	0	"MT-ND4"	0.01
0	-1.3619064112669	0.002	0.406	0	"BHMT"	-0.404
0	-1.3713256455577	0	0.553	0	"NOP53"	-0.553
0	-1.38357071508868	0.964	0.923	0	"RPL13A"	0.0409999999999999
0	-1.44870092621749	0	0.572	0	"ATP5F1A"	-0.572
0	-1.45661672430221	0	0.452	0	"RIDA"	-0.452
0	-1.47557651580675	0	0.612	0	"ATP5PO"	-0.612
0	-1.48916021527285	0.995	0.974	0	"MT-ND2"	0.021
0	-1.56192633048987	0	0.622	0	"ATP5F1B"	-0.622
0	-1.56956839365259	0	0.45	0	"SELENOP"	-0.45
0	-1.57994882930669	0	0.626	0	"ATP5MF"	-0.626
0	-1.59768611814167	0.001	0.484	0	"HPD"	-0.483
0	-1.59876590171271	0.001	0.46	0	"PRAP1"	-0.459
0	-1.61188479641072	0.007	0.523	0	"ASS1"	-0.516
0	-1.61514500836666	0	0.644	0	"ATP5F1D"	-0.644
0	-1.62380808509177	0.008	0.485	0	"GSTA1"	-0.477
0	-1.6243148888287	0.005	0.472	0	"RBP5"	-0.467
0	-1.63079239929807	0.002	0.47	0	"GLYAT"	-0.468
0	-1.63094199956066	0.898	0.879	0	"RPS17"	0.019
0	-1.64035557543466	0.896	0.881	0	"RPS20"	0.015
0	-1.73507349757239	0	0.662	0	"ELOB"	-0.662
0	-1.76792412784183	0	0.656	0	"ATP5MC3"	-0.656
0	-1.77122629833931	0	0.677	0	"ATP5ME"	-0.677
0	-1.77916926571499	0	0.407	0	"HMGCS2"	-0.407
0	-1.79189758326148	0.016	0.51	0	"ADIRF"	-0.494
0	-1.80447703243933	0.007	0.511	0	"SMIM24"	-0.504
0	-1.81701864208053	0	0.679	0	"ATP5MD"	-0.679
0	-1.82010801517873	0	0.696	0	"ATP5MPL"	-0.696
0	-1.86395598891679	0	0.657	0	"ATP5PF"	-0.657
0	-1.86581592949905	0.062	0.578	0	"MT1E"	-0.516
0	-1.92325764749775	0.036	0.62	0	"FXYD2"	-0.584
0	-1.95607762639037	0.003	0.513	0	"BBOX1"	-0.51
0	-1.96001571014239	0	0.648	0	"ATP5IF1"	-0.648
0	-1.97184941635845	0.005	0.489	0	"UGT2B7"	-0.484
0	-1.97352208764786	0	0.494	0	"PCK1"	-0.494
0	-1.97949386150395	0.025	0.576	0	"CRYAB"	-0.551
0	-1.98374567763148	0.009	0.489	0	"CXCL14"	-0.48
0	-2.06502034542114	0	0.734	0	"ATP5MC2"	-0.734
0	-2.13589907975803	0.002	0.54	0	"NAT8"	-0.538
0	-2.14655241713233	0	0.765	0	"ATP5MG"	-0.765
0	-2.2116030378797	0.026	0.5	0	"MTRNR2L8"	-0.474
0	-2.32281556993269	0.001	0.635	0	"MIOX"	-0.634
0	-2.38659608733739	0	0.581	0	"FABP1"	-0.581
0	-2.49755472740447	0	0.795	0	"RACK1"	-0.795
0	-2.5261530786429	0.005	0.621	0	"MT1H"	-0.616
0	-2.58578188888978	0.185	0.697	0	"GATM"	-0.512
0	-2.75359393458177	0.005	0.676	0	"PDZK1IP1"	-0.671
0	-2.75507498135409	0	0.836	0	"ATP5F1E"	-0.836
0	-3.10840335245615	0	0.774	0	"ALDOB"	-0.774
0	-3.69832183150688	0.021	0.834	0	"MT1G"	-0.813
0	-3.83884962151165	0.199	0.902	0	"GPX3"	-0.703
0	-5.12715116526778	0.001	0.517	0	"HBA2"	-0.516
0	-5.63841917816992	0.001	0.634	0	"HBB"	-0.633
8.34521916712479e-308	-1.41448585869944	0	0.395	3.266736042971e-303	"DPEP1"	-0.395
1.89635346935736e-307	0.994670619830424	0.69	0	7.42327565579937e-303	"HN1"	0.69
2.41923140786134e-304	1.07432028172654	0.961	0.573	9.47008134607324e-300	"RPL17"	0.388
2.80571653352414e-296	0.780677496167151	0.674	0	1.09829773704802e-291	"SEP15"	0.674
2.80571746266928e-296	0.917619639423036	0.674	0	1.09829810076189e-291	"ATP5D"	0.674
6.34594810969878e-295	-0.93758028446628	0	0.378	2.48412138754159e-290	"SELENOK"	-0.378
3.35878258700316e-294	-1.30992348011932	0	0.378	1.31479544368239e-289	"CLTRN"	-0.378
9.01906849828828e-294	1.17467313655541	0.987	0.767	3.53051436365495e-289	"CST3"	0.22
1.37095233422767e-292	-1.13646410202438	0	0.377	5.36659291233422e-288	"ALB"	-0.377
1.80203534699849e-292	0.781253206877876	0.669	0	7.05406736582561e-288	"MYEOV2"	0.669
7.71734063906629e-292	0.802672379123041	0.668	0	3.0209529931625e-287	"TCEB1"	0.668
5.22699034444845e-291	1.18652399446497	0.918	0.378	2.04610537033435e-286	"HLA-DMA"	0.54
8.67884887506951e-291	0.785248532304388	0.666	0	3.39733539214596e-286	"ATPIF1"	0.666
