"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
0	3.61920358534605	0.786	0.084	0	"HSPA1A"	0.702
0	2.98853976725964	0.472	0.002	0	"APOE"	0.47
0	2.77014740710398	0.809	0.037	0	"RGS1"	0.772
0	2.75616028829885	0.508	0.018	0	"CCL4"	0.49
0	2.74579777675179	0.723	0.051	0	"HSPA1B"	0.672
0	2.69405910418203	0.52	0.02	0	"C1QC"	0.5
0	2.48704350314593	0.487	0.011	0	"CCL4L2"	0.476
0	2.48586512075931	0.603	0.086	0	"CCL3"	0.517
0	2.47151374929512	0.767	0.236	0	"DNAJB1"	0.531
0	2.45741949118933	0.509	0.029	0	"C1QB"	0.48
0	2.40418622509502	0.549	0.006	0	"APOC1"	0.543
0	2.25349246068628	0.731	0.266	0	"HSPB1"	0.465
0	2.23369326325641	0.548	0.066	0	"C1QA"	0.482
0	2.18901431631128	0.641	0.104	0	"IL1B"	0.537
0	1.88865050659894	0.513	0.052	0	"AREG"	0.461
0	1.78467101375348	0.845	0.132	0	"NR4A2"	0.713
0	1.78408931990594	0.83	0.147	0	"NR4A1"	0.683
0	1.77287476277472	0.866	0.477	0	"JUN"	0.389
0	1.74331649174668	0.463	0.031	0	"CXCL8"	0.432
0	1.73436444652454	0.717	0.201	0	"GPR183"	0.516
0	1.70881661494557	0.531	0.011	0	"C3"	0.52
0	1.70663176669257	0.85	0.348	0	"HSPE1"	0.502
0	1.68422007670296	0.474	0.072	0	"CCL3L3"	0.402
0	1.64447153415132	0.981	0.814	0	"HSP90AA1"	0.167
0	1.58796019207792	0.809	0.175	0	"ATF3"	0.634
0	1.57883492268102	0.864	0.31	0	"CXCR4"	0.554
0	1.56875273236116	0.881	0.375	0	"RGS2"	0.506
0	1.52226137690743	0.932	0.663	0	"HLA-DQA1"	0.269
0	1.51832034615804	0.64	0.078	0	"HSPH1"	0.562
0	1.51531239156474	0.854	0.426	0	"RHOB"	0.428
0	1.50854414526693	0.651	0.061	0	"ZNF331"	0.59
0	1.4786371085029	0.957	0.818	0	"HLA-DPB1"	0.139
0	1.47442861087044	0.97	0.839	0	"HLA-DPA1"	0.131
0	1.4660618738074	0.938	0.769	0	"HLA-DQB1"	0.169
0	1.40751592751405	0.631	0.013	0	"NR4A3"	0.618
0	1.39782462998745	0.879	0.335	0	"FOSB"	0.544
0	1.3506882675592	0.838	0.451	0	"SGK1"	0.387
0	1.33670901807291	0.659	0.107	0	"DUSP2"	0.552
0	1.32483499916508	0.783	0.309	0	"HSPD1"	0.474
0	1.28333055975092	0.58	0.002	0	"OLR1"	0.578
0	1.28142136407953	0.968	0.838	0	"FOS"	0.13
0	1.26645235179126	0.84	0.389	0	"CD83"	0.451
0	1.26113492317355	0.997	0.982	0	"CD74"	0.015
0	1.2598750133158	0.518	0.005	0	"A2M"	0.513
0	1.25406252707301	0.973	0.933	0	"HLA-DRA"	0.0399999999999999
0	1.15938409804701	0.746	0.281	0	"TNFAIP3"	0.465
0	1.15791103215935	0.98	0.944	0	"HLA-DRB1"	0.036
