"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
2.26882416590957e-20	3.24467460979461	1	0	8.88131219745302e-16	"ATP5E"	1
2.26882416590957e-20	2.82604586245097	1	0	8.88131219745302e-16	"GNB2L1"	1
2.26882416590957e-20	2.44615052457239	1	0	8.88131219745302e-16	"ATP5G2"	1
2.26882416590957e-20	2.15097183708928	1	0	8.88131219745302e-16	"ATP5L"	1
2.26882416590957e-20	1.9673409899423	1	0	8.88131219745302e-16	"TCEB2"	1
2.26882416590957e-20	1.77871488094427	1	0	8.88131219745302e-16	"USMG5"	1
2.26882416590957e-20	1.72206549977531	1	0	8.88131219745302e-16	"ATP5G3"	1
2.26882416590957e-20	1.6879992548201	1	0	8.88131219745302e-16	"ATP5J2"	1
2.26882416590957e-20	1.65037020987355	1	0	8.88131219745302e-16	"SHFM1"	1
1.52636050211178e-19	1.86181613025989	1	0.014	5.97493818551656e-15	"ATP6V0C"	0.986
4.73519161226315e-19	1.46833879627488	0.941	0	1.85359075662041e-14	"ATP5I"	0.941
4.73519161226315e-19	1.32502994983837	0.941	0	1.85359075662041e-14	"ATP5F1"	0.941
9.25562175514983e-18	2.16844458724536	0.882	0	3.6231131360534e-13	"LINC01272"	0.882
9.25562175514983e-18	1.82284370132056	0.882	0	3.6231131360534e-13	"C10orf54"	0.882
9.25562175514983e-18	1.80960387122745	0.882	0	3.6231131360534e-13	"C14orf2"	0.882
9.25562175514983e-18	1.70698198333745	0.882	0	3.6231131360534e-13	"FYB"	0.882
9.25562175514983e-18	1.42548458962527	0.882	0	3.6231131360534e-13	"C19orf43"	0.882
9.25562175514983e-18	1.26135870713384	0.882	0	3.6231131360534e-13	"ATP5J"	0.882
1.69731417481676e-16	1.21837769007976	0.824	0	6.64413633732019e-12	"ATP5C1"	0.824
1.69731417481676e-16	1.18141195304013	0.824	0	6.64413633732019e-12	"TCEB1"	0.824
1.69731417481676e-16	1.05843349393442	0.824	0	6.64413633732019e-12	"SEP15"	0.824
1.58891077978634e-15	1.85944633677999	1	0.113	6.21979124747364e-11	"NME2"	0.887
2.92533058577164e-15	1.3725093598309	0.765	0	1.14512065780031e-10	"ATP5B"	0.765
2.92533058577164e-15	0.989290280595298	0.765	0	1.14512065780031e-10	"ATP5G1"	0.765
4.74710513084234e-14	1.27474106209481	0.706	0	1.85825430346823e-09	"ATP5H"	0.706
4.74710513084234e-14	1.17177879056778	0.706	0	1.85825430346823e-09	"FAM26F"	0.706
4.74710513084234e-14	1.16743914783134	0.706	0	1.85825430346823e-09	"ATP5A1"	0.706
4.74710513084234e-14	1.12922071909751	0.706	0	1.85825430346823e-09	"C11orf31"	0.706
4.74710513084234e-14	1.11138390521221	0.706	0	1.85825430346823e-09	"C7orf73"	0.706
4.74710513084234e-14	1.05135951407351	0.706	0	1.85825430346823e-09	"MYEOV2"	0.706
4.74710513084234e-14	0.946178041926678	0.706	0	1.85825430346823e-09	"SELT"	0.706
6.22041756778037e-13	1.42950239615415	1	0.197	2.43498245690763e-08	"RNASEK"	0.803
7.26669976015017e-13	1.167186541653	0.647	0	2.84454962111078e-08	"CECR1"	0.647
7.26669976015017e-13	1.13953606811753	0.647	0	2.84454962111078e-08	"GLTSCR2"	0.647
7.26669976015017e-13	1.07038021667017	0.647	0	2.84454962111078e-08	"ATP5D"	0.647
7.26669976015017e-13	0.718373738643473	0.647	0	2.84454962111078e-08	"C19orf60"	0.647
1.80233889604092e-12	1.20440962674446	0.824	0.07	7.05525560855216e-08	"TRAPPC5"	0.754
4.35151815633206e-12	1.67619686062631	0.882	0.127	1.70340178229618e-07	"EEF1G"	0.755
