"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
2.48360279638962e-12	1.97842407411802	0.933	0.058	9.72206314646717e-08	"RGS1"	0.875
2.85774105125283e-12	1.69377269162087	0.933	0.058	1.11866273451292e-07	"NR4A3"	0.875
4.6769951039515e-12	2.09474491783116	0.867	0.038	1.83080973344181e-07	"NR4A2"	0.829
8.59564132613419e-12	2.54903376600494	0.933	0.096	3.36476379711523e-07	"FOSB"	0.837
1.66188082500542e-11	1.91772112433588	0.8	0.019	6.50543248948373e-07	"KLF4"	0.781
6.65964993464447e-11	2.96928460717686	0.867	0.058	2.60691996691658e-06	"AREG"	0.809
2.1337999002258e-10	2.15357312795256	0.867	0.096	8.35275970943388e-06	"NR4A1"	0.771
4.02363186934121e-10	1.86922030187423	1	0.25	1.57505069525362e-05	"CDKN1A"	0.75
4.82862346400193e-10	1.12555360003502	0.8	0.058	1.89016465498355e-05	"SOCS3"	0.742
2.38504475696985e-09	2.08510347203134	0.933	0.173	9.33625770115847e-05	"RGS2"	0.76
2.73442042246381e-09	2.99566280557796	1	0.269	0.000107038887437346	"FOS"	0.731
3.51603768206597e-09	2.65727753999125	1	0.538	0.000137635295064473	"GPR183"	0.462
4.09485264283975e-09	1.94893002872259	0.933	0.173	0.000160293006703962	"CD83"	0.76
1.45881877934995e-08	1.47869301966683	0.8	0.096	0.000571054611176539	"ATF3"	0.704
2.90684641812891e-08	2.66304118062135	0.933	0.346	0.00113788503037656	"JUNB"	0.587
4.54782371556501e-08	1.74612384866036	1	0.769	0.00178024559345792	"ZFP36"	0.231
5.11979664814493e-08	0.530637563296183	0.6	0.019	0.00200414439791633	"EVI2A"	0.581
5.27497195055678e-08	1.91804717192307	0.733	0.096	0.00206488777004545	"ZNF331"	0.637
6.95423748834874e-08	1.1227427065656	1	1	0.00272223626481411	"SRGN"	0
7.14060762184903e-08	1.2344205646117	0.8	0.115	0.0027951908535728	"TUBB4B"	0.685
9.23352839507564e-08	1.94272047347814	0.733	0.096	0.00361446469025236	"ID2"	0.637
1.45750179639596e-07	0.757367499744448	0.6	0.038	0.00570539078199199	"PPP1R15B"	0.562
1.56114864791903e-07	1.87710394655567	1	0.577	0.00611111638227905	"CXCR4"	0.423
1.86679431656886e-07	1.1844013624337	0.8	0.173	0.0073075663522088	"CREM"	0.627
2.0367218169376e-07	1.64623141390924	0.667	0.077	0.00797274755240224	"BCL2A1"	0.59
2.25678354913311e-07	3.90670734528856	0.533	0.019	0.00883417920308158	"HSPA1A"	0.514
2.71623200209579e-07	2.62300631408322	0.467	0	0.010632690172204	"HSPA1B"	0.467
2.71623200209579e-07	0.997417253117702	0.467	0	0.010632690172204	"ID1"	0.467
2.71623200209579e-07	0.786770619403192	0.467	0	0.010632690172204	"CKS2"	0.467
3.3536229449983e-07	1.6748173436982	0.8	0.173	0.0131277570181958	"LDLRAD4"	0.627
3.77711614182184e-07	1.35928458187101	0.933	0.5	0.0147855211371616	"MCL1"	0.433
3.86821839662546e-07	1.54366917099274	0.533	0.019	0.0151421409135903	"DUSP2"	0.514
4.92717914906027e-07	2.46151274388502	0.667	0.096	0.0192874427789964	"DNAJB1"	0.571
7.73343419208208e-07	0.993108123179389	0.667	0.077	0.0302725281449053	"PTGER4"	0.59
8.81702314492281e-07	0.613457806627159	0.6	0.058	0.0345142371008003	"FOSL2"	0.542
1.17099421989915e-06	0.770154770497687	0.8	0.154	0.0458385687379524	"SYAP1"	0.646
1.27490528313937e-06	0.861595358955671	0.667	0.096	0.0499061673084906	"PER1"	0.571
1.61355672542111e-06	1.06797089545209	0.8	0.212	0.0631626780166093	"ZC3HAV1"	0.588
1.68371570436698e-06	1.02331256544795	0.867	0.25	0.0659090512474454	"PDE4B"	0.617
1.89722462493746e-06	1.70878810580082	0.733	0.192	0.0742668579431771	"TUBA1A"	0.541
2.3354231486397e-06	0.820417696399146	0.4	0	0.0914201391535012	"RP11-598F7.3"	0.4
2.3354231486397e-06	0.397387399123718	0.4	0	0.0914201391535012	"MAFF"	0.4
2.61087747869506e-06	0.852521078323678	0.933	0.462	0.102202798903518	"CYCS"	0.471
2.77015371312237e-06	0.632124683356625	0.467	0.019	0.108437667100175	"AXL"	0.448
3.155070096282e-06	0.578615081569641	0.467	0.019	0.123505218918959	"HMGCS1"	0.448
3.20937561989287e-06	1.08222450850235	0.8	0.192	0.125631008640706	"KDM6B"	0.608
3.26195305868019e-06	0.962202490988149	0.867	0.365	0.127689152482036	"WSB1"	0.502
3.65124744703212e-06	0.896766100789533	0.6	0.077	0.142928081314072	"ETV3"	0.523
4.05551445034338e-06	1.62972487554587	0.6	0.077	0.158753113158692	"HSPH1"	0.523
5.01192486088048e-06	1.2832110491275	1	0.654	0.196191798679167	"SRSF7"	0.346
7.57881178757214e-06	1.05344533587259	0.533	0.058	0.296672587424511	"SLC2A3"	0.475
8.19752194908628e-06	-1.02736770384645	0.8	1	0.320891996696982	"IGKC"	-0.2
8.41122859247361e-06	0.594020342819343	0.733	0.154	0.329257543252379	"TSEN54"	0.579
1.07675368294077e-05	1.44253140582593	0.867	0.481	0.421495229187166	"BHLHE40"	0.386
1.20244632442325e-05	1.14485157176015	1	0.596	0.470697613695481	"BTG2"	0.404
1.21123250107094e-05	0.748291169991215	0.667	0.115	0.474136962544219	"PRMT9"	0.552
1.24913709272881e-05	0.753166412722904	0.6	0.077	0.488974714948692	"NFKBID"	0.523
1.44538537938238e-05	0.60505028610804	0.533	0.058	0.565796106759235	"FAM129A"	0.475
1.50334107364536e-05	0.589609748699494	0.6	0.096	0.588482863278478	"BAIAP2"	0.504
1.54998496752319e-05	0.845749195678127	0.733	0.173	0.606741615536951	"SKIL"	0.56
1.58432790521555e-05	0.917500353559557	0.867	0.308	0.620185158496629	"PIM2"	0.559
1.6136101468557e-05	0.911986523114946	0.667	0.173	0.631647691986663	"P2RY6"	0.494
