""	"K"	"P"	"T"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	-0.00222170819121643	0.0366657686874835	0.083470490568888	0.049983894882972	1337.02949813187	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0500382475331088	0.051814500840417	0.0570249087257966	0.0534847993161013	1772.18367253175	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.203671963344933	0.208136353634763	0.208693012762333	0.208000508961749	70854.9118860882	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	-0.0527316208563191	-0.0409651173822462	-0.00400396319745136	-0.0290551937939113	1976.08556172444	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0717607781791263	0.105484304017314	0.0952425909906334	0.0994648816736014	4161.13702318878	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.270061087086408	0.263679833151347	0.253126727633288	0.260501496616031	142266.682383567	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0420502261338737	0.0492539761371942	0.0418510267689749	0.0461656022024138	2514.04764725393	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.142303460908527	0.156597574170073	0.171163208013037	0.160580984920636	64858.4381359437	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.10437780200266	0.0877562014724415	0.0948922918388032	0.0914447894606125	15373.0465905428	0	0
"GO_11_CIS_RETINAL_BINDING"	0.0804429990155375	0.059239634992546	0.042975968178593	0.055177329442874	37385.489571034	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0159859610387423	0.0675164902650879	0.093447589642327	0.0726903839557097	13408.6321364871	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	0.100678440599234	0.0909228545012447	0.0703612089806187	0.0845333175190661	17559.7301496662	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.0605753691387743	0.0709923487533974	0.105333760140176	0.0820960223143792	7489.80082502543	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0435999518586457	0.0567538389749793	0.0641281854921604	0.0583355264579717	21058.4225804105	0	0
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0163251343967186	0.0221663692594923	0.0493852740276726	0.0311446899110242	2287.67444027351	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.205681491110406	-0.189434915924497	-0.150047917851271	-0.177015934813189	12211.0408096258	0	0
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0144465524954334	0.0110618337022997	0.0273944179451296	0.016955804390086	949.747064951315	0	0
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	0.0667272252997982	0.0617164845952989	0.0628429731474244	0.0624742541174036	18407.8017779126	0	0
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.00866231115372917	0.000911586142827018	0.0356204112566726	0.0122042384857138	709.604251464141	0	0
"GO_3_5_EXONUCLEASE_ACTIVITY"	0.0722694416040829	0.0767825513698928	0.0913433596201587	0.0814834449333585	35814.3669552372	0	0
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.128789263225189	-0.140683068752707	-0.132189154751004	-0.136872782053306	25077.0664110196	0	0
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.119710091912435	-0.102667535922732	-0.103725054277114	-0.104286109148758	7604.74688279049	0	0
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	0.0631770688299591	0.0878233426446651	0.103831370880724	0.0915441498271856	4863.34519919356	0	0
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.249348344337936	0.250147765722166	0.268730116048969	0.256511693767326	97415.6419481176	0	0
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.0785178293630231	-0.0540307686343206	-0.0543189094820652	-0.0559307773263553	1603.27003943564	0	0
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.212113622131169	0.204608384429376	0.203990650231314	0.204946698496051	163957.257432377	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	0.114951630471274	0.115450083056238	0.120986323980834	0.11732695136225	11129.533184127	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	0.187338953430749	0.179897668219693	0.194607251005529	0.185528933282569	59385.8966381956	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	0.11312584399079	0.114520488080452	0.105489633097162	0.111296569374021	49053.4201657474	0	0
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	0.214093103813273	0.257368547991515	0.267873830349146	0.257817700703062	146401.421673746	0	0
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	0.0615415386120801	0.115628333820886	0.12579187536563	0.115164461774563	19939.5839326806	0	0
"GO_3M_COMPLEX"	0.0550931611330337	0.0400257357948872	0.0324942764321649	0.0385304380272736	5646.76585806965	0	0
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	0.0450889023345337	0.0410518478428597	0.0607416266511284	0.0481541447229825	2827.83375898347	0	0
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING"	0.0615505034861829	0.0759822922390751	0.0963811788666288	0.0819717551358767	21056.1283783619	0	0
"GO_5_3_DNA_HELICASE_ACTIVITY"	-0.144506185407803	-0.135354799398618	-0.125354759418982	-0.132571296170279	19577.6914975183	0	0
