"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
1.36090216833605e-117	1.11405095689161	0.708	0.322	5.32725153795147e-113	"0"	"C5AR1"
3.24709580253605e-104	0.773591756162093	0.895	0.63	1.27107565190274e-99	"0"	"IER3"
4.6076108230977e-97	0.834778893445001	0.893	0.714	1.80364925670159e-92	"0"	"SOD2"
2.42847210532706e-94	0.67609604390602	0.961	0.815	9.50625405630279e-90	"0"	"NFKBIA"
5.14291492359159e-88	0.803070537276087	0.823	0.542	2.01319404683993e-83	"0"	"IL1B"
1.39410528694758e-86	0.341030502279008	1	0.992	5.45722514575632e-82	"0"	"FTH1"
1.65089455494664e-85	0.468398685477116	0.995	0.954	6.46242673533862e-81	"0"	"DUSP1"
3.75159157407967e-84	0.485326566886114	0.928	0.737	1.46856052167349e-79	"0"	"NAMPT"
1.2815329328394e-82	0.666239869530662	0.818	0.544	5.01656066559984e-78	"0"	"KLF2"
4.46050794922446e-82	0.896541782332072	0.804	0.532	1.74606583672391e-77	"0"	"CCL3"
3.21695077986286e-79	0.51390223454758	0.973	0.874	1.25927538277732e-74	"0"	"PNRC1"
1.02908284860482e-77	0.491258964303369	0.979	0.91	4.02834481086358e-73	"0"	"BTG1"
6.67928403589407e-77	0.537755570896641	0.972	0.791	2.61460573585073e-72	"0"	"FOSB"
4.05625002729239e-74	0.592129262005177	0.91	0.684	1.58781907318361e-69	"0"	"ATF3"
1.20347887914797e-73	0.530981662253442	0.974	0.839	4.71101807242474e-69	"0"	"PPP1R15A"
4.68682618326694e-67	0.235840014559256	1	0.991	1.83465810943984e-62	"0"	"FTL"
3.0084969971942e-64	0.598932537109034	0.903	0.742	1.17767614955167e-59	"0"	"ZFAND5"
5.08936211679911e-63	0.392184298766653	0.99	0.948	1.99223080062101e-58	"0"	"ZFP36"
1.94615742301586e-61	1.03676765189336	0.472	0.205	7.61823323239559e-57	"0"	"CXCL2"
1.50791946125337e-60	0.265394969971244	0.997	0.929	5.90275073107632e-56	"0"	"TYROBP"
1.89105838537611e-58	0.367585628740764	0.971	0.886	7.40254804955479e-54	"0"	"KLF6"
