""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CCL4"	0	2.05609106308784	0.612	0.161	0	"0"	"CCL4"
"CCL4L2"	0	2.02686488931047	0.554	0.123	0	"0"	"CCL4L2"
"CCL3"	0	1.78445999434843	0.804	0.286	0	"0"	"CCL3"
"OLR1"	0	1.72433479498634	0.68	0.133	0	"0"	"OLR1"
"C1QC"	0	1.65299308820905	0.605	0.126	0	"0"	"C1QC"
"TREM2"	0	1.59177479614164	0.604	0.093	0	"0"	"TREM2"
"C1QB"	0	1.56850534697865	0.578	0.134	0	"0"	"C1QB"
"C3"	0	1.52340962839982	0.641	0.121	0	"0"	"C3"
"RGS1"	0	1.50591525371294	0.771	0.251	0	"0"	"RGS1"
"ZNF331"	0	1.48388829212001	0.677	0.209	0	"0"	"ZNF331"
"IER3"	0	1.44412545073971	0.894	0.429	0	"0"	"IER3"
"IL1B"	0	1.38530876754237	0.825	0.338	0	"0"	"IL1B"
"APOC1"	0	1.33080427175923	0.606	0.125	0	"0"	"APOC1"
"ATF3"	0	1.3195997119866	0.91	0.414	0	"0"	"ATF3"
"A2M"	0	1.29872690942255	0.588	0.124	0	"0"	"A2M"
"VSIG4"	0	1.29195279236511	0.527	0.109	0	"0"	"VSIG4"
"SLCO2B1"	0	1.2268621910879	0.498	0.081	0	"0"	"SLCO2B1"
"NR4A2"	0	1.22554558205776	0.897	0.4	0	"0"	"NR4A2"
"C1QA"	1.36427276511772e-307	1.57903054700399	0.624	0.177	5.34044573905333e-303	"0"	"C1QA"
"MSR1"	6.52417520029926e-306	1.20680001742812	0.6	0.149	2.55388838215715e-301	"0"	"MSR1"
"CCL3L3"	6.36388743849295e-299	1.9077544176758	0.571	0.151	2.49114373779807e-294	"0"	"CCL3L3"
"GPR183"	9.398341786786e-290	1.3765225044312	0.745	0.285	3.67898089243738e-285	"0"	"GPR183"
"CXCL2"	4.6860592128159e-288	1.83068150044408	0.468	0.096	1.83435787885678e-283	"0"	"CXCL2"
"OLFML3"	3.37617264029535e-284	1.35317987919855	0.387	0.06	1.32160278004362e-279	"0"	"OLFML3"
"CD9"	1.55308089431241e-283	1.17991993629834	0.687	0.221	6.07953516078592e-279	"0"	"CD9"
"NR4A3"	2.0305943933675e-282	1.18897893889559	0.627	0.178	7.94876175283709e-278	"0"	"NR4A3"
"HLA-DRA"	1.90507138864674e-273	0.897362043809689	0.997	0.915	7.45740195085766e-269	"0"	"HLA-DRA"
"FPR3"	1.8419822037165e-270	1.20054051869208	0.46	0.094	7.21043933644824e-266	"0"	"FPR3"
"HLA-DRB1"	3.67444591460372e-267	0.830230321917708	0.995	0.919	1.43836185327163e-262	"0"	"HLA-DRB1"
"CD74"	2.84443049469815e-266	0.834794185865361	0.998	0.96	1.11345231714959e-261	"0"	"CD74"
"SDS"	2.60949661387681e-262	1.70418984639337	0.367	0.061	1.02148744950208e-257	"0"	"SDS"
"FN1"	2.61276095777108e-259	2.34805640155799	0.308	0.041	1.02276527691949e-254	"0"	"FN1"
"DUSP2"	3.62181746456328e-258	1.12025682405301	0.748	0.287	1.4177604465033e-253	"0"	"DUSP2"
"TGIF1"	3.08567996562804e-253	1.21499619332035	0.6	0.18	1.20788942254509e-248	"0"	"TGIF1"
"NR4A1"	1.28259007838062e-252	1.00285969868492	0.879	0.414	5.02069886182094e-248	"0"	"NR4A1"
"HLA-DPB1"	5.35391666425381e-250	0.919439995878714	0.977	0.795	2.09579067822215e-245	"0"	"HLA-DPB1"
"HLA-DPA1"	1.21399799393977e-248	0.940224683138192	0.987	0.828	4.75219514727723e-244	"0"	"HLA-DPA1"
"LTC4S"	6.20863849980154e-248	1.07964167199582	0.476	0.11	2.43037154074731e-243	"0"	"LTC4S"
"CLEC5A"	1.45777404288693e-245	1.39956938667793	0.412	0.084	5.70645649088088e-241	"0"	"CLEC5A"
"SGK1"	9.9288249267188e-242	1.14664811268183	0.887	0.521	3.88663851756407e-237	"0"	"SGK1"
"HLA-DMA"	7.43238541616811e-241	0.796625276410173	0.954	0.702	2.90940727115901e-236	"0"	"HLA-DMA"
"ARHGAP18"	1.37219399156361e-236	1.01657019676436	0.599	0.187	5.37145337997575e-232	"0"	"ARHGAP18"
"PLAU"	3.39844575973131e-233	1.53900236134154	0.371	0.07	1.33032159264682e-228	"0"	"PLAU"
"DOCK4"	8.16499904158504e-233	0.902036384300172	0.434	0.093	3.19618887482846e-228	"0"	"DOCK4"
"ZFP36"	1.70812543816829e-232	0.728033950746551	0.991	0.894	6.68645702770977e-228	"0"	"ZFP36"
"GPR34"	6.05552785184208e-232	1.12410653280964	0.463	0.109	2.37043637760358e-227	"0"	"GPR34"
"CD83"	7.53241745284465e-227	0.897208724310457	0.906	0.52	2.94856481191604e-222	"0"	"CD83"
"HLA-DRB5"	1.24165031781334e-226	0.879576686496222	0.966	0.794	4.86044016908033e-222	"0"	"HLA-DRB5"
"GLUL"	8.71925376958617e-214	0.952354250181641	0.907	0.602	3.4131518881045e-209	"0"	"GLUL"
"RHOB"	5.86459488177367e-211	0.910228419962015	0.941	0.612	2.2956956664703e-206	"0"	"RHOB"
"HLA-DOA"	8.30418681310791e-211	0.995431453348445	0.585	0.191	3.25067392799109e-206	"0"	"HLA-DOA"
"BTG1"	1.03989947305337e-208	0.781763404519144	0.978	0.828	4.07068648726741e-204	"0"	"BTG1"
"CREM"	2.86307402478105e-207	1.17460453946062	0.551	0.18	1.12075032700054e-202	"0"	"CREM"
"DUSP1"	1.91196878720906e-202	0.6651271383532	0.995	0.898	7.48440181752988e-198	"0"	"DUSP1"
"HSPA1B"	2.10839087226709e-202	1.23651338220461	0.649	0.253	8.25329606948954e-198	"0"	"HSPA1B"
"TNFAIP3"	1.08373678264886e-200	0.975492715047355	0.832	0.444	4.24228763567898e-196	"0"	"TNFAIP3"
"HSPA1A"	1.3447709187134e-195	1.20927767909126	0.759	0.365	5.26410576130362e-191	"0"	"HSPA1A"
"CD69"	3.2473511499277e-195	0.977469417993719	0.536	0.174	1.2711756076392e-190	"0"	"CD69"
"APOE"	6.00703490936652e-195	0.926788761669911	0.581	0.192	2.35145381527152e-190	"0"	"APOE"
"PDE4B"	9.37463914570841e-195	0.948982953425703	0.611	0.221	3.66970249358756e-190	"0"	"PDE4B"
"ELL2"	1.03584432686037e-194	1.04631115482133	0.49	0.146	4.05481261749493e-190	"0"	"ELL2"
"NPC2"	1.7110317244518e-194	0.601467457760722	0.976	0.879	6.69783368536659e-190	"0"	"NPC2"
"FCGR2A"	7.94269864453322e-191	0.891244342406377	0.86	0.505	3.10916938440253e-186	"0"	"FCGR2A"
"IL18"	7.03874218055952e-190	0.988270900459037	0.654	0.266	2.75531562658003e-185	"0"	"IL18"
"C15orf48"	1.05153051938628e-189	1.41797037329468	0.429	0.116	4.11621621813759e-185	"0"	"C15orf48"
"HLA-DQA1"	6.56977920007964e-189	0.881319442221176	0.882	0.605	2.57174006787117e-184	"0"	"HLA-DQA1"
"PLTP"	9.35614762151923e-189	1.22745006796386	0.313	0.059	3.6624639864437e-184	"0"	"PLTP"
"CXCL8"	1.00700297017577e-186	1.20622310744389	0.635	0.259	3.94191312675304e-182	"0"	"CXCL8"
"OSM"	7.79022391980314e-185	1.37550778468643	0.412	0.108	3.04948315340694e-180	"0"	"OSM"
"HBEGF"	1.96577713568611e-182	1.15519516838434	0.597	0.227	7.69503459764326e-178	"0"	"HBEGF"
"AXL"	4.60172053898647e-182	0.922145460832127	0.408	0.104	1.80134350498626e-177	"0"	"AXL"
"HLA-DQB1"	1.56158214917145e-179	0.899741595987011	0.885	0.635	6.11281332293165e-175	"0"	"HLA-DQB1"
"CXCR4"	5.52138805288309e-179	0.882285734083523	0.804	0.427	2.16134735330108e-174	"0"	"CXCR4"
"SRGN"	5.86834484161287e-179	0.582691989133805	0.993	0.914	2.29716358824936e-174	"0"	"SRGN"
"PRDM1"	6.6190947112548e-179	1.09129521513608	0.406	0.108	2.59104462472069e-174	"0"	"PRDM1"
"HLA-DMB"	1.30344905122054e-178	0.70118259610956	0.895	0.541	5.10235131100281e-174	"0"	"HLA-DMB"
"AKR1B1"	6.97411661841251e-178	0.862685786991349	0.655	0.271	2.73001795027758e-173	"0"	"AKR1B1"
"CD81"	2.03266001629607e-174	0.817821123304587	0.545	0.184	7.95684763379098e-170	"0"	"CD81"
"GADD45B"	9.35313442796738e-174	0.847229988171038	0.92	0.646	3.66128447182783e-169	"0"	"GADD45B"
"CXCL16"	4.12712830605266e-173	0.831237708217732	0.805	0.442	1.61556437540431e-168	"0"	"CXCL16"
"KLF6"	4.9476850082088e-173	0.699744328839439	0.97	0.856	1.93677129646333e-168	"0"	"KLF6"
"TM6SF1"	4.08079574586098e-172	0.887031246480992	0.52	0.17	1.59742749471728e-167	"0"	"TM6SF1"
"GAL3ST4"	1.41056593400308e-171	1.01238594538475	0.237	0.036	5.52166034865506e-167	"0"	"GAL3ST4"
"GPNMB"	2.36004434426541e-170	0.90892652245227	0.306	0.062	9.23839358562696e-166	"0"	"GPNMB"
"CTSB"	2.97470428604395e-170	0.664063220586024	0.96	0.778	1.16444799277191e-165	"0"	"CTSB"
"IL10"	1.50058380986264e-168	1.7714849784004	0.255	0.044	5.87403532370731e-164	"0"	"IL10"
"FCGR2B"	4.4796088388049e-168	0.968856204033633	0.595	0.232	1.75354287995018e-163	"0"	"FCGR2B"
"VEGFA"	1.28811546046963e-167	1.07768607057752	0.435	0.127	5.04232797000835e-163	"0"	"VEGFA"
"EGR1"	3.93585095052928e-166	0.849394032719332	0.779	0.401	1.54068885458468e-161	"0"	"EGR1"
"PLAUR"	7.65079767979949e-166	0.969106467820236	0.883	0.598	2.99490475175751e-161	"0"	"PLAUR"
"SLC1A3"	1.84638245758026e-165	0.739720259534096	0.439	0.124	7.22766413019791e-161	"0"	"SLC1A3"
"PHLDA1"	2.27559678544201e-165	1.44297874110339	0.34	0.082	8.90782361661273e-161	"0"	"PHLDA1"
"HERPUD1"	2.90808839048393e-164	0.753985551008188	0.91	0.647	1.13837120045493e-159	"0"	"HERPUD1"
"RGS2"	1.12916800420678e-163	0.711604313808795	0.94	0.635	4.42012815246746e-159	"0"	"RGS2"
