""	"X0"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.132256614626368	-0.139620846572738	-0.117519787797125	-0.140236930422308	-0.113362736411824	-0.0903684393106334	-0.132491197159117	-0.112034923075027	-0.126867332981508	4267.22165131773	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0470512754117941	0.0467542343499684	0.0424346140334458	0.0452644968235777	0.0426390598527681	0.0531129294483473	0.0450873770556758	0.057516980125822	0.0464200990718195	622.044291810093	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.198885058973809	0.207843286870782	0.190126309510593	0.204981716515104	0.193138074554864	0.186418329357603	0.199645080951974	0.188953415741627	0.198117199220594	27211.9097836413	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0840621937535296	0.0852748198588478	0.0848922452384244	0.0807056404238699	0.0857042478700507	0.0855023329019143	0.0823721497763348	0.0909268309007633	0.0845253182628731	2043.57333116984	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.222114350056365	0.22720233996617	0.219369932318869	0.222658052033328	0.21944136072076	0.217399916846603	0.221274777060488	0.212927462882868	0.221772847960944	80127.2649454605	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0502195267376838	0.0483550073587806	0.0527926484007715	0.0442816284847642	0.0539790913320105	0.0428593345829151	0.0495732578715566	0.0490015552894736	0.0494504733649587	1611.24881596281	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.169228046053303	0.173867338585702	0.168567584869083	0.169741994469711	0.167451819994463	0.176176466413478	0.170032669541138	0.169084637583324	0.170427821128886	43391.8160276193	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.102682343851142	0.106315061745316	0.100457040656976	0.105631818113062	0.103541845544801	0.100114478662085	0.101577756391447	0.10357128507116	0.103181848570304	10120.5215659845	0	0
"GO_11_CIS_RETINAL_BINDING"	0.338126013512925	0.346103904654839	0.333120703636884	0.340457888024409	0.327093103489236	0.328942391131597	0.33544816695219	0.324239216110248	0.336866614227384	524515.646432902	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0543977252911024	0.0377126961190017	0.0718598737105434	0.046865906887555	0.072570563695446	0.0675135882555684	0.0745809387800719	0.0660339101911969	0.0571630584234804	2982.36863173496	0	0
