""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RPS13"	0	0.388127791021382	1	0.993	0	"0"	"RPS13"
"RPS8"	0	0.327372531403488	1	0.995	0	"0"	"RPS8"
"RPS12"	0	0.322923613563319	1	0.995	0	"0"	"RPS12"
"RPL32"	0	0.322527011594604	1	0.996	0	"0"	"RPL32"
"RPS23"	0	0.318960913339101	1	0.996	0	"0"	"RPS23"
"RPL30"	0	0.318279481261823	1	0.996	0	"0"	"RPL30"
"RPS14"	0	0.31287962362136	1	0.995	0	"0"	"RPS14"
"RPL35A"	0	0.3077749026327	1	0.993	0	"0"	"RPL35A"
"RPL11"	0	0.307015059942228	1	0.996	0	"0"	"RPL11"
"RPS15A"	0	0.271695018951508	1	0.995	0	"0"	"RPS15A"
"EEF1B2"	1.14800657654035e-305	0.424844850440992	0.998	0.972	5.17383603915207e-301	"0"	"EEF1B2"
"RPL19"	4.57240790948132e-297	0.279325793046112	1	0.997	2.06069279664504e-292	"0"	"RPL19"
"RPS3A"	1.74979502515275e-289	0.358633825043443	1	0.992	7.8859762193584e-285	"0"	"RPS3A"
"RPS5"	1.39791372916715e-277	0.347972481062855	1	0.985	6.30011759461049e-273	"0"	"RPS5"
"RPS27A"	4.0776252464927e-270	0.270399644892125	1	0.992	1.83770414608933e-265	"0"	"RPS27A"
"RPL5"	8.31489142227488e-266	0.340909387518421	1	0.985	3.74735526619084e-261	"0"	"RPL5"
"RPL22"	5.04297242477904e-258	0.342219635285983	0.999	0.982	2.27276681239942e-253	"0"	"RPL22"
"RPL34"	2.0652502521655e-257	0.274775379309275	1	0.996	9.30766983645949e-253	"0"	"RPL34"
"RPL18"	9.52201994091832e-246	0.275357833465698	1	0.993	4.29138394697307e-241	"0"	"RPL18"
"EEF1A1"	4.83138231233167e-241	0.251256237633877	1	1	2.17740738052164e-236	"0"	"EEF1A1"
