""	"Var.Imp"
"MALAT1"	113.082508402011
"EEF1A1"	167.494471347677
"RPLP1"	83.9446510831911
"RPS27"	140.362113377157
"RPS12"	220.807520561145
"RPL10"	79.5679013068713
"ACTB"	137.774891800657
"B2M"	97.2714354757602
"MT.CO1"	53.1476590806448
"TMSB4X"	64.555959348058
"RPL13"	200.950552413626
"AC090498.1"	87.6241516922189
"RPS18"	93.4737663996468
"TPT1"	96.3635658719813
"MT.CO3"	36.2179078773075
"FOS"	123.168797071371
"RPL32"	24540.9627167096
"RPL30"	183.303977053071
"JUN"	382.591158692121
"FTL"	54.2329459633817
"RPL39"	172.874733938399
"MT.CO2"	57.7028808971847
"RPS15A"	192.266117648981
"RPS8"	604.560958288916
"RPL28"	39.2965207765608
"RPL34"	937.77299745085
"RPS14"	111.081331159179
"TMSB10"	81.2446415021183
"RPS19"	56.3409606385841
"RPS3A"	2038.61691269286
"HSPA1A"	109.112507267788
"RPS27A"	167.530050221267
"JUNB"	333.405160285669
"RPS6"	552.433954840813
"RPS23"	97.6650454180705
"RPS3"	59.0206748426647
"MT.ATP6"	49.5247959963986
"RPL11"	1830.02234202283
"RPS28"	50.3800015579939
"RPL19"	59.3028313633219
"MT.ND4"	54.8450287816835
"RPL37"	87.3447718568692
"MT.ATP8"	45.6798300316737
"RPL18A"	81.8231592196877
"RPS4X"	66.4133105869468
"RPS26"	56.6323513432503
"RPS10"	55.100883960084
"RPS13"	527.880914813354
"RPL3"	356.193390662775
"RPS29"	84.3984556574907
"CD74"	644.726248328496
"RPL41"	96.4847600136682
"FTH1"	281.651662385756
"HLA.B"	66.1060753390902
"RPL26"	75.539464352648
"RPS2"	95.8315995960545
"HBB"	16.31432428694
"RPS25"	113.96121291386
"MT.CYB"	46.695910802116
"RPLP0"	109.935041552599
"MT.ND3"	64.8319013844324
"RPL35A"	181.016665192199
"RPL18"	69.9158235031776
"RPL13A"	174.51252018867
"RPS15"	66.9811966496015
"RPL21"	210.552118567712
"ACTG1"	48.3183107520353
"RPLP2"	334.382663235504
"DNAJB1"	168.013280676889
"DUSP1"	299.228293758589
"RPS21"	40.9479498518856
"HSP90AA1"	207.382214224008
"RPL29"	78.7946793756366
"RPL12"	69.4384450391549
"IER2"	79.9349200244754
"RPL36"	103.551318949686
"RPL23A"	72.6483490604404
"HLA.A"	43.115519660497
"MT.ND2"	63.6715833715418
"MT.ND4L"	44.8794626919151
"ZFP36"	6142.18318948525
"GAPDH"	59.7577809826605
"RPL7A"	43.5181506745735
"RPL14"	79.5647652785223
"S100A4"	1755.77211306011
"RPS7"	41.4236910770426
"RPSA"	79.0999449413347
"HBA2"	16.3903392592486
"IL32"	58.3533564186507
"RPS24"	50.1732922204029
"VIM"	132.687687490686
"RPL17"	61.1026665396283
"RPL5"	86.3592427027008
"H3F3B"	323.33675828818
"RPL6"	88.3124718202014
"RPS5"	61.4241301927539
"RPS16"	73.637334404953
"RPL8"	60.4124671814632
"PFN1"	109.13255581373
"MT.ND1"	50.0803709230098
"RPS9"	37.8023978039161
"HSPA1B"	113.73208929167
"GPX3"	28.7419925609221
"RPL9"	681.941316623874
"CD69"	85.2064412925778
"RPL37A"	46.2907618646686
"RPL15"	48.9326296806378
"FAU"	41.1861504277412
"RPL10A"	62.9153406570119
"TXNIP"	513.483708803548
"HLA.C"	79.6395304441014
"EIF1"	123.681335951209
"GNB2L1"	36.2588128409573
"BTG1"	214.55203867554
"PTMA"	39.7297544235693
"KLF6"	124.107013932831
"RPL27A"	124.258903740915
"MT.ND5"	109.685725425881
"RPL22"	268.189835435317
"EEF1B2"	66.122197459693
"RPL24"	45.6377042032988
"TSC22D3"	606.937793365074
"RPL35"	49.9886311496562
"NACA"	67.3575801386651
"UBC"	110.558275698603
"RPL4"	82.6264235168282
"CD52"	65.9902964103726
"RPL7"	225.690150410534
"HSPA8"	109.315940302429
"RPL27"	41.1037112116097
"RPL38"	40.7489349818896
"LTB"	47.3217600335386
"MT1G"	23.6007782735475
"SH3BGRL3"	413.169867395539
"UBA52"	50.8462090223734
"ZFP36L2"	71.5535371191749
"RPL31"	99.3646183471661
"CCL5"	12342.3316141121
"CCL4"	47.3148599894993
"NFKBIA"	1481.98110379308
"IFITM1"	46.505305069656
"CXCR4"	32.6770631298962
"RPS20"	66.9811907843202
"HSPA6"	3.40709197049197
"CRIP1"	87.2442920478105
"EGR1"	130.121516328996
"SRGN"	351.846335268741
"RPS17"	80.3509715820102
"EEF1G"	68.0933184301251
"EEF2"	63.3283348103304
