"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
0	2.30988001142485	0.952	0	0	"RPS4Y1"	0.952
0	1.19028333359326	1	0.995	0	"MT-ATP8"	0.005
0	1.15378314631807	0.996	0.989	0	"RPS29"	0.00700000000000001
0	-1.70957073572497	0.223	0.857	0	"BTG2"	-0.634
0	-2.03590525087884	0.321	0.957	0	"GADD45B"	-0.636
0	-2.36676815017641	0.081	0.95	0	"FOSB"	-0.869
0	-2.44497322312088	0.682	0.993	0	"JUNB"	-0.311
0	-2.57912542833976	0.521	0.99	0	"IER2"	-0.469
0	-2.76959409139073	0.014	0.834	0	"EGR1"	-0.82
0	-2.77514150155494	0.56	0.998	0	"JUN"	-0.438
0	-2.81129548960302	0.323	0.984	0	"FOS"	-0.661
5.46116787220219e-270	0.626326674583463	1	1	2.46123913664408e-265	"RPS27"	0
5.01819869874489e-268	-1.43918568227952	0.558	0.976	2.26160178955035e-263	"DUSP1"	-0.418
2.71302333153588e-242	0.786157690604209	1	0.996	1.22270535505659e-237	"HLA-C"	0.004
4.99298363124217e-240	-1.19106073830876	0.175	0.756	2.25023786292822e-235	"TUBB4B"	-0.581
1.13055094564026e-224	0.587469014143645	0.999	0.995	5.09516700181153e-220	"RPL37A"	0.004
2.47104599622644e-220	-1.05248692041031	0.132	0.687	1.11365100957933e-215	"SERTAD1"	-0.555
6.28683416046483e-217	1.78538133191303	0.983	0.939	2.83335041943829e-212	"RPS26"	0.044
4.51044817281656e-210	0.783050977315269	0.979	0.897	2.03276878252496e-205	"RPL27A"	0.082
1.67342171948645e-203	-1.07548625677258	0.349	0.838	7.54177700538154e-199	"BRD2"	-0.489
4.1605622632547e-202	-0.935328226110012	0.151	0.681	1.87508220080363e-197	"CTD-2192J16.22"	-0.53
4.71173626368567e-202	-1.03491142461525	0.013	0.429	2.12348529931786e-197	"NR4A1"	-0.416
9.73066618646982e-192	-0.684035139488914	0	0.373	4.38541663691822e-187	"XIST"	-0.373
2.12805404997595e-187	0.633776966630673	0.992	0.96	9.5907139924316e-183	"RPL38"	0.032
8.83392423853619e-186	-0.975565938435515	0.128	0.618	3.98127297582349e-181	"IFRD1"	-0.49
1.27403985069972e-182	-0.86425178714921	0.147	0.651	5.7418427991335e-178	"CD27"	-0.504
1.15126777473266e-181	-0.978333006915334	0.418	0.887	5.18853360716515e-177	"PPP1R15A"	-0.469
2.71274334475431e-179	-0.868999084905828	0.089	0.553	1.22257917061387e-174	"H2AFX"	-0.464
2.77643633745257e-176	0.42358450013702	0.999	1	1.25128432856312e-171	"RPL23A"	-0.001
2.04243131749085e-174	-0.878465249853049	0.674	0.941	9.20482946166777e-170	"SRSF7"	-0.267
2.92151527252067e-171	-0.813086715949925	0.372	0.852	1.31666850301961e-166	"SUN2"	-0.48
2.32612653382082e-163	-0.956766302405793	0.282	0.743	1.04833870626237e-158	"DDX3X"	-0.461
3.87830428878749e-163	0.532678851209015	1	1	1.74787417687074e-158	"MT-ATP6"	0
2.9455803005938e-161	-1.17865794309762	0.269	0.731	1.32751412987162e-156	"CITED2"	-0.462
9.55752600851768e-161	-0.818422147844702	0.09	0.519	4.30738582151875e-156	"EIF4A3"	-0.429
1.08575995261483e-160	-0.398282715769134	0.999	1	4.89330295444453e-156	"RPS4X"	-0.001
1.66002344441892e-160	-0.873674683786389	0.075	0.49	7.4813936593072e-156	"MARCKSL1"	-0.415
1.75184171029446e-160	-0.666416731287655	0.831	0.98	7.89520021995506e-156	"HSPA8"	-0.149
3.13240890242138e-160	-0.948110363322406	0.355	0.812	1.41171404414327e-155	"MCL1"	-0.457
2.72523319786622e-155	-0.430085922468045	0.998	1	1.22820809761435e-150	"RPS2"	-0.002
7.94498201480347e-153	-0.838545016376252	0.578	0.91	3.58064449443163e-148	"KLF2"	-0.332
3.25370890130855e-151	-0.90425627562823	0.195	0.654	1.46638152764174e-146	"TCF7"	-0.459
3.32136751165625e-151	-0.719923491405206	0.522	0.915	1.49687391015324e-146	"PCBP1"	-0.393
8.66369050892513e-149	0.42820020360239	0.998	0.996	3.90455203856238e-144	"RPL35"	0.002
2.98926207427282e-148	-0.933197738620093	0.592	0.923	1.34720063163327e-143	"NFKBIA"	-0.331
1.7389251295485e-145	-0.824621739072778	0.289	0.761	7.8369877738492e-141	"LBH"	-0.472
6.5109550669227e-144	-0.91640776987623	0.223	0.681	2.93435722956072e-139	"NR4A2"	-0.458
1.67941858401996e-143	-0.732827952153778	0.167	0.617	7.56880367446117e-139	"GIMAP1"	-0.45
7.68942750621087e-143	0.419101538830456	1	1	3.46547118849912e-138	"B2M"	0
3.95028867357674e-138	-0.788900619899722	0.163	0.594	1.78031609940757e-133	"POLR2A"	-0.431
2.42679419116875e-135	0.632428154616369	1	1	1.09370760607593e-130	"MT-ND3"	0
5.98212407867282e-135	-0.561710082041921	0.814	0.973	2.69602367977627e-130	"PCBP2"	-0.159
1.32087111829111e-134	-0.72988613596482	0.315	0.759	5.95290195591439e-130	"HIST1H4C"	-0.444
2.87858945788052e-133	-0.629243016425011	0.047	0.401	1.29732269687759e-128	"SOCS1"	-0.354
8.34169586047957e-132	-0.785016420375197	0.203	0.635	3.75943549040093e-127	"NFKBIZ"	-0.432
1.06249683044343e-131	-0.899050470584485	0.388	0.815	4.78846071544247e-127	"LTB"	-0.427
2.95405766034129e-131	-1.03560779729308	0.334	0.73	1.33133470636261e-126	"SLC2A3"	-0.396
3.5180187105263e-131	-0.362165783594536	0.999	1	1.58550067245999e-126	"RPL41"	-0.001
4.70642826659111e-129	1.28879867887887	0.64	0.165	2.12109309118728e-124	"GZMH"	0.475
7.00989279341236e-129	-0.674495466304029	0.169	0.605	3.15921848413508e-124	"DENND2D"	-0.436
6.8939056537224e-128	-0.77512099764552	0.312	0.747	3.10694540001961e-123	"DNAJA1"	-0.435
1.40215005524018e-124	-0.682571556409467	0.861	0.985	6.31920986895642e-120	"ZFP36L2"	-0.124
2.21539776345257e-123	-0.738086296791745	0.737	0.953	9.98435464032803e-119	"ZFP36"	-0.216
2.45007927514785e-123	0.287433389297045	0.998	1	1.10420172772363e-118	"RPL26"	-0.002
2.98399084804988e-122	-0.43657048793997	0.994	1	1.34482499539912e-117	"MT-ND5"	-0.00600000000000001
5.58003767142073e-122	-0.63344653710591	0.093	0.465	2.5148113777559e-117	"NFKB1"	-0.372
9.36703152028453e-122	-0.518462706898765	0.938	0.995	4.22153376556183e-117	"PABPC1"	-0.0570000000000001
5.8097739308536e-121	-0.88240145127318	0.356	0.767	2.6183489151571e-116	"ZFP36L1"	-0.411
7.37583242511998e-121	1.31929450642775	0.638	0.225	3.32414015735307e-116	"LGALS1"	0.413
2.24188161103076e-119	0.679912502693937	0.933	0.73	1.01037120445934e-114	"CD99"	0.203
7.61108645782595e-118	1.82963796162942	0.601	0.18	3.430164444813e-113	"GNLY"	0.421
1.18755820804944e-116	-0.706072421409163	0.163	0.56	5.35208733203722e-112	"ILF3-AS1"	-0.397
1.89410672686816e-116	0.351944067755073	1	1	8.53636019664942e-112	"RPS19"	0
1.80092690884232e-113	-0.612057926241747	0.063	0.391	8.11641739277058e-109	"IER5"	-0.328
8.22600745829525e-113	-0.589533841906472	0.047	0.353	3.7072970413045e-108	"PNP"	-0.306
1.04085552451107e-111	-0.624997413281265	0.094	0.453	4.6909276778665e-107	"PPP1R10"	-0.359
2.43416553548227e-109	-0.536120195510301	0.006	0.243	1.09702972353115e-104	"PLK2"	-0.237
7.87367781759459e-107	-0.63960106079796	0.158	0.545	3.54850911883353e-102	"MYLIP"	-0.387
1.33090498323618e-106	0.676163738058508	0.893	0.687	5.99812257844883e-102	"SRGN"	0.206
6.31457109213681e-106	-0.653620608873893	0.325	0.719	2.84585089980422e-101	"SFPQ"	-0.394
2.33794176398102e-105	0.341937621696945	0.999	0.999	1.05366359419097e-100	"RPL37"	0
7.80222001077685e-105	0.961701244614259	0.831	0.574	3.51630451445691e-100	"NKG7"	0.257
8.14142924111696e-104	0.717745414921128	0.957	0.853	3.66917933038659e-99	"TSC22D3"	0.104
1.85018195225402e-103	-0.881173030973294	0.413	0.755	8.3384000224184e-99	"TUBA1A"	-0.342
6.08828497765166e-102	0.332874474626125	0.999	1	2.74386827372805e-97	"RPL39"	-0.001
