"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
1.79284396656054e-45	1.04603168945235	0.192	0.418	2.47771036178667e-42	"PICALM"	-0.226
9.92942742827791e-40	1.18981465135026	0.19	0.428	1.37224687058801e-36	"IRF9"	-0.238
4.69045758757802e-39	1.33688436946515	0.192	0.395	6.48221238603283e-36	"ATXN2"	-0.203
3.74094981163649e-34	0.923806294467361	0.248	0.398	5.16999263968163e-31	"ZRSR2"	-0.15
5.12584420972792e-32	0.731727793861064	0.209	0.361	7.08391669784399e-29	"HIBCH"	-0.152
2.59818886806228e-31	0.865972876652532	0.234	0.395	3.59069701566206e-28	"DHX29"	-0.161
2.20741439838305e-30	1.04597718982183	0.23	0.358	3.05064669856538e-27	"GCHFR"	-0.128
6.0117179645792e-29	0.509526115101162	0.205	0.324	8.30819422704846e-26	"BRD7"	-0.119
7.88034099816941e-29	0.528721913129923	0.254	0.465	1.08906312594701e-25	"BORCS7"	-0.211
8.45649750092139e-29	0.614901605128199	0.253	0.438	1.16868795462734e-25	"PCBD1"	-0.185
1.43295369063224e-28	0.893426935877561	0.255	0.455	1.98034200045375e-25	"NSRP1"	-0.2
1.04925154163152e-27	0.983511866443727	0.193	0.331	1.45006563053476e-24	"C1orf122"	-0.138
1.67117999746893e-27	0.463987515551252	0.262	0.375	2.30957075650206e-24	"SCRN2"	-0.113
3.15738508495833e-27	0.851520944946072	0.245	0.351	4.36350618741242e-24	"CCDC174"	-0.106
3.79481056223029e-27	1.22299223494208	0.216	0.385	5.24442819700226e-24	"GADD45A"	-0.169
5.98661592810781e-27	0.574410326436344	0.232	0.381	8.273503212645e-24	"CCDC25"	-0.149
1.8265685394102e-26	0.267319977201992	0.257	0.411	2.5243177214649e-23	"DDRGK1"	-0.154
2.42489972520851e-26	1.62313822915351	0.189	0.395	3.35121142023816e-23	"YBX3"	-0.206
3.14995776758276e-26	0.361167344186178	0.243	0.321	4.35324163479938e-23	"YIF1A"	-0.078
1.86257554612897e-24	0.300307512061212	0.277	0.381	2.57407940475024e-21	"ASAH1"	-0.104
1.9344389392282e-24	1.08614526537547	0.247	0.371	2.67339461401337e-21	"SETD5"	-0.124
2.20163700180895e-24	0.244866261430539	0.272	0.448	3.04266233649997e-21	"NELFE"	-0.176
6.10351139582976e-24	0.478114108938504	0.279	0.435	8.43505274903672e-21	"ZCCHC17"	-0.156
1.44283434457662e-23	0.57088532875414	0.27	0.418	1.99399706420488e-20	"CISD1"	-0.148
1.70914535140216e-23	0.736663861127625	0.212	0.448	2.36203887563778e-20	"APOPT1"	-0.236
2.03602607169396e-23	0.686350365984044	0.235	0.401	2.81378803108106e-20	"SYPL1"	-0.166
2.21720590321213e-23	1.38906414370863	0.276	0.391	3.06417855823917e-20	"SERPINB9"	-0.115
3.17133119611077e-23	0.41832509830535	0.291	0.395	4.38277971302508e-20	"KLHDC2"	-0.104
3.558854156385e-23	0.795979429106477	0.237	0.391	4.91833644412407e-20	"CRYL1"	-0.154
7.40270794989877e-23	0.843148358423655	0.252	0.365	1.02305423867601e-19	"PTPRE"	-0.113
8.64876339935065e-23	0.366354748496517	0.248	0.411	1.19525910179026e-19	"MIF4GD"	-0.163
9.58250066964367e-23	0.445044530238779	0.241	0.331	1.32430159254476e-19	"ACADM"	-0.09
1.1196854920259e-22	0.754630028584741	0.231	0.431	1.5474053499798e-19	"C11orf54"	-0.2
1.51163153217784e-22	0.35888696819837	0.243	0.314	2.08907477746977e-19	"HAGH"	-0.071
2.34864644135241e-22	0.481489687509405	0.25	0.401	3.24582938194904e-19	"COQ4"	-0.151
2.52978514477e-22	0.419151474757367	0.284	0.445	3.49616307007214e-19	"VPS51"	-0.161
2.52978576118355e-22	0.468298528134244	0.297	0.458	3.49616392195566e-19	"REST"	-0.161
2.61588036665881e-22	0.642886900459339	0.269	0.391	3.61514666672247e-19	"USP34"	-0.122
2.70204984956956e-22	0.452093688341155	0.265	0.378	3.73423289210513e-19	"TTC1"	-0.113
3.15210362925081e-22	1.19455875619638	0.262	0.398	4.35620721562462e-19	"RAB37"	-0.136
5.44921952241234e-22	0.851911853163451	0.269	0.398	7.53082137997385e-19	"CDV3"	-0.129
7.73767450466224e-22	1.16568668944123	0.184	0.368	1.06934661654432e-18	"SIAH2"	-0.184
1.46955936481124e-21	0.462652685908496	0.239	0.321	2.03093104216914e-18	"TMEM134"	-0.082
1.51553103157568e-21	0.569122526565783	0.279	0.408	2.09446388563759e-18	"USP8"	-0.129
1.56052088811119e-21	0.220294623577683	0.314	0.438	2.15663986736967e-18	"DAP3"	-0.124
2.4286255580166e-21	0.672110835243613	0.292	0.438	3.35636052117895e-18	"MRPL16"	-0.146
3.40696224639355e-21	0.263779826447402	0.237	0.381	4.70842182451589e-18	"RPS6KB2"	-0.144
8.5271079476596e-21	0.516875359333228	0.256	0.328	1.17844631836656e-17	"PFDN1"	-0.072
8.77988927098459e-21	0.372649585675774	0.285	0.438	1.21338069725007e-17	"PEPD"	-0.153
1.44422040799188e-20	0.456299873012509	0.259	0.358	1.99591260384478e-17	"OARD1"	-0.099
3.08504918832757e-20	0.323264149904929	0.299	0.431	4.2635379782687e-17	"SAT2"	-0.132
3.47867077165235e-20	0.411331803567516	0.268	0.355	4.80752300642354e-17	"HADHB"	-0.087
3.84494229610141e-20	0.477708461486883	0.281	0.361	5.31371025321215e-17	"GON4L"	-0.08
3.86977536200702e-20	1.98408259121773	0.177	0.371	5.3480295502937e-17	"SH3YL1"	-0.194
