"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
6.47455361145422e-160	1.66871834722291	0.189	0.403	8.94783309102973e-157	"YBX3"	-0.214
1.44699048949516e-141	1.45013443953002	0.232	0.469	1.99974085648232e-138	"GPR171"	-0.237
1.93733276492191e-126	1.26374416389775	0.216	0.403	2.67739388112209e-123	"GADD45A"	-0.187
2.82920699240266e-115	0.859840968859857	0.227	0.42	3.90996406350048e-112	"BDH2"	-0.193
2.83262394901783e-115	1.40180800954877	0.179	0.419	3.91468629754264e-112	"DNAJC21"	-0.24
2.31308462992489e-109	1.03382536250641	0.193	0.405	3.19668295855619e-106	"C1orf122"	-0.212
1.93256713429107e-107	0.840706430448519	0.268	0.505	2.67080777959026e-104	"S1PR4"	-0.237
2.34739775157369e-106	0.546129891966466	0.256	0.421	3.24410369267484e-103	"DCK"	-0.165
3.86822064655943e-106	0.745942481169469	0.231	0.391	5.34588093354513e-103	"C11orf54"	-0.16
5.45374936645059e-106	1.08356197207949	0.23	0.359	7.53708162443471e-103	"GCHFR"	-0.129
7.69149883328947e-105	2.52010672269303	0.311	0.582	1.0629651387606e-101	"KLRD1"	-0.271
9.13027370467161e-105	1.07206689881941	0.219	0.449	1.26180382598562e-101	"LINC00623"	-0.23
8.20857596777429e-101	0.805409752746858	0.247	0.419	1.13442519874641e-97	"NIT2"	-0.172
2.02197587933626e-100	0.863639147801757	0.212	0.44	2.79437066524271e-97	"APOPT1"	-0.228
3.5207432914355e-100	2.23307796489307	0.243	0.483	4.86566722876386e-97	"FGFBP2"	-0.24
1.33089649021245e-99	0.661044764976953	0.216	0.415	1.8392989494736e-96	"ACAT1"	-0.199
3.46860362599774e-99	0.710845851581323	0.27	0.469	4.79361021112888e-96	"CISD1"	-0.199
4.72342442754824e-99	0.504688103663006	0.223	0.344	6.52777255887167e-96	"MRPL27"	-0.121
1.09556044883561e-97	0.696084195913614	0.209	0.355	1.51406454029081e-94	"HIBCH"	-0.146
8.47659813771136e-97	0.628337502033743	0.224	0.401	1.17146586263171e-93	"ARL2"	-0.177
5.26689498295501e-96	0.604556044129839	0.238	0.415	7.27884886644383e-93	"MRPS11"	-0.177
9.99041745993974e-96	0.858292027152133	0.252	0.4	1.38067569296367e-92	"PTPRE"	-0.148
8.47806952495826e-95	0.610470625842552	0.231	0.393	1.17166920834923e-91	"DPM1"	-0.162
1.02936380478684e-93	0.608227832177261	0.256	0.393	1.42258077821541e-90	"SLC25A11"	-0.137
2.77569899066553e-93	0.916290886931509	0.306	0.522	3.83601600509976e-90	"IQGAP2"	-0.216
6.21892755141998e-93	0.483661574479441	0.26	0.432	8.59455787606241e-90	"MRPS33"	-0.172
1.94341541932337e-92	2.28794944102602	0.35	0.581	2.6858001095049e-89	"IL7R"	-0.231
3.81941639988362e-92	0.70978627446739	0.253	0.407	5.27843346463917e-89	"PCBD1"	-0.154
4.48482484621371e-92	0.779811484781256	0.245	0.387	6.19802793746734e-89	"CCDC174"	-0.142
5.58722390508147e-92	1.17620720376032	0.27	0.525	7.7215434368226e-89	"LY9"	-0.255
2.02855567524917e-91	0.586907537781775	0.241	0.384	2.80346394319435e-88	"ACADM"	-0.143
3.21921073859812e-91	1.03246958061702	0.226	0.402	4.4489492407426e-88	"ZBTB20"	-0.176
7.00815605420509e-91	0.785417174482716	0.235	0.394	9.68527166691144e-88	"SYPL1"	-0.159
1.23682661709569e-90	0.509044289664411	0.242	0.383	1.70929438482624e-87	"CWC25"	-0.141
1.28489336268572e-90	1.25098013351	0.184	0.386	1.77572262723167e-87	"SIAH2"	-0.202
4.20472922632639e-90	0.823911483601908	0.26	0.446	5.81093579078308e-87	"CCDC186"	-0.186
4.14053486083691e-88	1.42356247641579	0.304	0.585	5.72221917767661e-85	"MBP"	-0.281
9.14815280880599e-88	0.984963184884795	0.255	0.419	1.26427471817699e-84	"NSRP1"	-0.164
3.85568019032847e-87	0.500792574006264	0.243	0.359	5.32855002303395e-84	"YIF1A"	-0.116
4.9439645448714e-87	1.90876282960656	0.324	0.595	6.83255900101227e-84	"GZMM"	-0.271
6.70462226465604e-87	0.68034435396239	0.227	0.355	9.26578796975465e-84	"ZCCHC10"	-0.128
1.42617437843383e-86	2.26165330240259	0.258	0.381	1.97097299099555e-83	"STMN1"	-0.123
3.30998383993708e-86	0.677655801325055	0.256	0.434	4.57439766679305e-83	"PFDN1"	-0.178
1.15968897511261e-85	0.570827171669732	0.239	0.363	1.60269016360562e-82	"TMEM134"	-0.124
5.3092194642931e-85	0.702834092899881	0.261	0.407	7.33734129965306e-82	"CDC40"	-0.146
6.21115781516617e-85	1.49023818747256	0.276	0.389	8.58382010055965e-82	"SERPINB9"	-0.113
7.89773958349072e-85	0.361318409725373	0.272	0.443	1.09146761043842e-81	"NELFE"	-0.171
2.63276946707917e-84	1.70776389221803	0.273	0.554	3.63848740350341e-81	"RORA"	-0.281
3.08542133068059e-84	0.812706577079874	0.269	0.442	4.26405227900058e-81	"CDV3"	-0.173
3.11522494212396e-84	0.405868751885035	0.278	0.436	4.30524087001531e-81	"MRPS26"	-0.158
3.84206916707783e-84	1.84515187259883	0.237	0.51	5.30973958890156e-81	"RASGRP2"	-0.273
4.09385027320555e-84	0.737012672406945	0.248	0.446	5.65770107757008e-81	"RALBP1"	-0.198
3.19249990517134e-83	0.882418789393241	0.234	0.415	4.41203486894679e-80	"DHX29"	-0.181
8.45199074479112e-83	0.501522991237446	0.248	0.408	1.16806512093013e-79	"MIF4GD"	-0.16
2.14958124248354e-82	2.63529273352817	0.359	0.611	2.97072127711225e-79	"ANXA1"	-0.252
2.38875981397669e-82	0.607963553174763	0.25	0.392	3.30126606291578e-79	"COQ4"	-0.142
1.52972446395334e-81	0.625480176149806	0.232	0.382	2.11407920918352e-78	"CCDC25"	-0.15
1.78011394331686e-81	1.94352053147091	0.26	0.573	2.4601174696639e-78	"KLF3"	-0.313
2.14896780483304e-81	0.49697545579457	0.259	0.396	2.96987350627927e-78	"HINT2"	-0.137
2.17156144492373e-81	0.625126765354901	0.278	0.427	3.0010979168846e-78	"EHD1"	-0.149
5.72275228133186e-81	0.433096858900834	0.268	0.408	7.90884365280064e-78	"RNASEH2B"	-0.14
6.22629545279034e-80	0.92725262043121	0.219	0.399	8.60474031575625e-77	"TMEM147"	-0.18
1.04494371349154e-79	0.713767525567211	0.277	0.429	1.44411221204531e-76	"FKBP3"	-0.152
1.17089349028214e-79	2.30217357490488	0.164	0.415	1.61817480356992e-76	"CAMK2N1"	-0.251
2.74749782866043e-79	0.990061417932557	0.22	0.408	3.79704199920872e-76	"BRI3"	-0.188
3.47517885803099e-79	0.902888143122271	0.243	0.407	4.80269718179882e-76	"YPEL3"	-0.164
4.38615215848846e-79	0.559738242329426	0.28	0.432	6.06166228303105e-76	"MORF4L2"	-0.152
7.44854780127183e-79	0.735852364633709	0.246	0.369	1.02938930613577e-75	"ECI2"	-0.123
3.38833904837839e-78	0.555731410388342	0.259	0.412	4.68268456485894e-75	"OARD1"	-0.153
4.97082699203126e-78	1.20389064100911	0.173	0.32	6.8696829029872e-75	"PMF1"	-0.147
6.57858640145923e-78	1.03830924062045	0.222	0.462	9.09160640681665e-75	"SSBP4"	-0.24
6.69684856351365e-78	0.747730186979811	0.287	0.443	9.25504471477586e-75	"RGS19"	-0.156
