"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
1.86251482254527e-20	0.895326623864134	0.174	0.292	2.57399548475757e-17	"YBX3"	-0.118
5.36704487305533e-20	0.200619966108633	0.21	0.395	7.41725601456247e-17	"MAP2K2"	-0.185
3.76501788253493e-18	0.0921647011773424	0.226	0.486	5.20325471366328e-15	"MRPS16"	-0.26
1.81361720450203e-16	0.407766089538601	0.19	0.413	2.5064189766218e-13	"PICALM"	-0.223
2.04425081542181e-16	0.245056947824877	0.202	0.264	2.82515462691294e-13	"CISD3"	-0.062
2.26898101755652e-15	0.0195944642134579	0.21	0.353	3.1357317662631e-12	"ASAH1"	-0.143
2.29642962310414e-15	0.10241688266855	0.166	0.301	3.17366573912992e-12	"MIF4GD"	-0.135
2.54639962464765e-15	0.190354295553706	0.222	0.383	3.51912428126305e-12	"SPG21"	-0.161
3.45181168201549e-15	0.280542923734089	0.22	0.38	4.77040374454541e-12	"CCDC25"	-0.16
1.91645212101156e-14	0.463499372103541	0.269	0.474	2.64853683123798e-11	"MRPL36"	-0.205
2.27057021185489e-14	0.261737036535196	0.208	0.38	3.13792803278346e-11	"C1orf122"	-0.172
7.52941410784194e-14	0.126141322564176	0.283	0.456	1.04056502970376e-10	"BORCS7"	-0.173
2.20010819113717e-13	0.320239497271049	0.206	0.307	3.04054952015157e-10	"USP34"	-0.101
3.12686309963073e-13	0.197120162294603	0.244	0.334	4.32132480368967e-10	"RNASEH2B"	-0.09
3.74942745521627e-13	0.181318408045406	0.218	0.325	5.18170874310889e-10	"TTC1"	-0.107
4.15038830511293e-13	0.238422262981395	0.244	0.374	5.73583663766608e-10	"TMEM134"	-0.13
6.5985761218661e-13	0.289565149208101	0.261	0.398	9.11923220041894e-10	"CCDC174"	-0.137
6.95418568642343e-13	0.203744378949686	0.192	0.304	9.61068461863718e-10	"MRPL27"	-0.112
9.68528240631281e-13	0.222211714127748	0.196	0.45	1.33850602855243e-09	"CAMK2N1"	-0.254
1.07255409981936e-12	0.077984822889567	0.248	0.416	1.48226976595036e-09	"SNW1"	-0.168
1.36666346647278e-12	0.107157557350621	0.299	0.377	1.88872891066538e-09	"ATP6V1E1"	-0.078
1.47067231178447e-12	0.251709935992878	0.234	0.264	2.03246913488613e-09	"ARID5B"	-0.03
1.57224728855416e-12	0.3074998821072	0.19	0.255	2.17284575278184e-09	"C19orf25"	-0.065
1.63787191080242e-12	0.846249480984508	0.182	0.176	2.26353898072895e-09	"STMN1"	0.00600000000000001
1.90366281577439e-12	0.40858952325968	0.311	0.517	2.63086201140021e-09	"POLR2I"	-0.206
1.99134607465422e-12	0.398294181451991	0.263	0.444	2.75204027517213e-09	"CRYL1"	-0.181
