"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	1.85827675519547	0.58	0.107	0	"0"	"VCAM1"
0	1.83001790572827	0.548	0.112	0	"0"	"HAVCR2"
0	1.76608928254488	0.577	0.125	0	"0"	"TNFRSF9"
0	1.64598499956295	0.674	0.245	0	"0"	"LAG3"
0	1.56169312961491	0.862	0.334	0	"0"	"CD27"
0	1.48129927362617	0.95	0.431	0	"0"	"GZMK"
0	1.38914717727207	0.805	0.316	0	"0"	"LYST"
0	1.32058180021582	0.993	0.874	0	"0"	"CD74"
0	1.24283520463795	0.768	0.28	0	"0"	"DUSP4"
0	1.15401450900952	0.872	0.425	0	"0"	"RGS1"
0	1.10362821583912	0.924	0.604	0	"0"	"HLA-DRB1"
3.70699528474292e-304	1.1660562176166	0.841	0.428	1.45110330421261e-299	"0"	"HLA-DRB5"
6.80271888008463e-302	0.459325418300997	1	0.998	2.66292430560913e-297	"0"	"HLA-A"
7.67542967935704e-302	0.83399916533491	0.975	0.865	3.00454694798432e-297	"0"	"CST7"
4.73650473474604e-291	2.85830014959264	0.279	0.015	1.85410477841634e-286	"0"	"PMCH"
1.4149621181354e-285	1.39778007937938	0.572	0.16	5.53886921144103e-281	"0"	"PDCD1"
1.71851582932098e-284	1.8541385970583	0.36	0.047	6.72713021387697e-280	"0"	"TMEM155"
8.71754279394847e-283	1.16698467899952	0.802	0.396	3.41248212669113e-278	"0"	"HLA-DQA1"
4.60052790702329e-275	1.96573461901018	0.407	0.074	1.80087664920427e-270	"0"	"HMOX1"
6.99245267940938e-273	2.499744844815	0.35	0.048	2.7371956013548e-268	"0"	"TRDV1"
8.19420769715958e-273	1.99411780152287	0.34	0.042	3.20762260305312e-268	"0"	"ADTRP"
1.56349502878708e-272	1.85785097025654	0.544	0.164	6.12030129018704e-268	"0"	"FXYD2"
1.82563108562498e-269	1.37848120967229	0.585	0.184	7.146432884679e-265	"0"	"CD82"
2.10074325008314e-269	1.55441024793422	0.521	0.143	8.22335945245046e-265	"0"	"SNAP47"
1.22661940569994e-268	1.56790706573179	0.463	0.101	4.80160166361242e-264	"0"	"CD200R1"
9.15268849419963e-260	1.70083509826963	0.44	0.091	3.58281991105444e-255	"0"	"CCL3L3"
4.07636195366434e-254	1.24161889620613	0.634	0.228	1.59569188676191e-249	"0"	"HLA-DMA"
3.28910569135432e-252	1.54661028484831	0.659	0.261	1.28752042288065e-247	"0"	"CCL4L2"
4.3990611085078e-248	1.36051403805936	0.567	0.186	1.72201247092538e-243	"0"	"SIRPG"
6.19280886862946e-241	2.07305010928872	0.373	0.071	2.424175031625e-236	"0"	"AC133644.2"
5.63995397763389e-239	1.9463141740238	0.558	0.198	2.20775998454479e-234	"0"	"CCL3"
9.92862257662254e-236	1.18627422517939	0.764	0.387	3.88655930761889e-231	"0"	"HLA-DRA"
5.82064654126885e-233	1.2202982613875	0.67	0.276	2.27849208857969e-228	"0"	"HLA-DQB1"
3.54131829943195e-231	2.00548152791424	0.236	0.016	1.38624904831264e-226	"0"	"RP11-492E3.2"
3.23263904156772e-230	0.937272805500866	0.896	0.617	1.26541655282168e-225	"0"	"HLA-DPA1"
3.5915970543053e-225	1.45923156029138	0.405	0.088	1.40593066690781e-220	"0"	"CTLA4"
2.27184131657132e-217	1.98347065557858	0.295	0.042	8.89312283371845e-213	"0"	"AC017002.1"
7.91298965302002e-214	1.86438057750452	0.328	0.058	3.09753979967469e-209	"0"	"CADM1"
1.18338262227763e-199	1.41200005645846	0.389	0.092	4.63235127490579e-195	"0"	"AC069363.1"
2.82105852407187e-198	1.91769823179236	0.229	0.022	1.10430335924794e-193	"0"	"RTKN2"
1.89378665087294e-194	0.8300252902485	0.886	0.643	7.41322784484213e-190	"0"	"HLA-DPB1"
2.89368795249895e-193	0.689370219652094	0.917	0.706	1.13273414900571e-188	"0"	"CD2"
1.47291773237081e-191	1.11792468689008	0.56	0.217	5.76573646336555e-187	"0"	"HNRNPLL"
5.05845548174586e-188	1.37611892833708	0.397	0.106	1.98013239832942e-183	"0"	"TTN"
