""	"rho"	"Pval"	"SE"	"Tval"	"n"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.0311190433510786	1	0.0147804961670883	-2.10541263292441	4575	1
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	-0.104371175003503	7.34644660910034e-09	0.0147068939879825	-7.0967517062942	4575	3.66220363463652e-05
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	-0.199463577196149	2.24510796153632e-38	0.0144905036230167	-13.765123862177	4575	1.77004311687524e-34
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-0.140984793486265	6.00264877177758e-18	0.0146399553926986	-9.63013818720912	4575	3.76065945551866e-14
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	0.000928816551808663	1	0.0147876516687468	0.0628102806730082	4575	1
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	-0.188899582369489	3.93554813473625e-34	0.014521427103775	-13.0083345816875	4575	3.00872654900587e-30
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	-0.139201191835271	1.93152329781664e-17	0.0146436871893894	-9.50588400550748	4575	1.19889651095479e-13
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	-0.0875971916468657	1.25923841080754e-05	0.0147308139609095	-5.94652759035031	4575	0.0538828115984546
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.0706176009667555	0.00608986689434839	0.0147507400803462	-4.78739375665944	4575	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	-0.136240079224072	1.30203039735817e-16	0.0146497757133835	-9.29980648779544	4575	7.97103009262674e-13
"GO_11_CIS_RETINAL_BINDING"	-0.301426102197599	9.83995695308155e-93	0.0140998772849976	-21.3779238006786	4575	9.60576597759821e-89
"GO_14_3_3_PROTEIN_BINDING"	0.0212711990356614	1	0.0147843122281192	1.43876825025411	4575	1
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-0.273821561942382	1.60323748428961e-75	0.0142224813200617	-19.2527278314044	4575	1.48042949299303e-71
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.083556507086171	6.17859534609504e-05	0.0147359462090659	5.6702505492837	4575	0.2522102620276
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.044377116326912	1	0.0147730899936739	3.00391565650214	4575	1
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0648554858469399	0.0367086928461142	0.0147565250994325	4.3950378161478	4575	1
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.120026287988628	2.10657053625592e-12	0.0146807538352481	-8.17575782113098	4575	1.17651964449893e-08
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	-0.122585617823708	4.95854602433299e-13	0.0146761286702242	-8.35272165965791	4575	2.81099974119437e-09
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	-0.0901104127665798	4.48667926140193e-06	0.0147274986241769	-6.11851442434717	4575	0.0196696018819861
"GO_3_5_DNA_HELICASE_ACTIVITY"	0.158738408626342	2.28161098157098e-23	0.01460016054259	10.8723741881665	4575	1.554005239548e-19
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.136285709081822	1.26464259732945e-16	0.0146496829031379	-9.30298013840497	4575	7.74340662344821e-13
"GO_3_5_EXONUCLEASE_ACTIVITY"	-0.0253299864925948	1	0.0147829133447765	-1.7134637741447	4575	1
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.253535738733789	4.37245412043391e-64	0.0143044864057666	-17.7242112398794	4575	3.89323314883435e-60
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.192660443714515	1.29716603308807e-35	0.0145106184562658	-13.2772041588153	4575	1.00374707640355e-31
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	-0.025110762980056	1	0.0147829951302615	-1.69862485638334	4575	1
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.0567209948404148	0.353177921549593	0.0147638509299034	3.84188346995088	4575	1
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.133753430333517	6.25391085131596e-16	0.0146547856400162	-9.12694553295212	4575	3.78173989179076e-12
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.11179234162557	1.77928894999718e-10	0.0146949629392858	7.60752797318749	4575	9.39108707808512e-07
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	0.0256949983529032	1	0.0147827755919065	1.73817144102297	4575	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	-0.101687252162761	2.64291716638085e-08	0.0147110049887061	-6.91232531297675	4575	0.000128762924346075
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	-0.0694968710806202	0.00875468278271634	0.0147519039967973	-4.71104415373827	4575	1
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	0.0467596655064165	1	0.0147714828428092	3.16553632455251	4575	1
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	-0.0241830837161602	1	0.014783333344557	-1.63583429748366	4575	1
"GO_3M_COMPLEX"	-0.21646540285789	9.905188848727e-46	0.0144370469560802	-14.9937451555303	4575	8.17673339462414e-42
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	-0.135378918972582	2.24970126392046e-16	0.0146515213589593	-9.23992230266241	4575	1.3716428606123e-12
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING"	0.120197366599141	1.91508975699129e-12	0.0146804477541873	8.18758178304591	4575	1.07110970108523e-08
"GO_5_3_DNA_HELICASE_ACTIVITY"	-0.0727855870951794	0.0029800530744257	0.0147484354343447	-4.9351395555954	4575	1
"GO_5_3_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.163333448611808	7.02618451884279e-25	0.0145890734372623	-11.1956012363769	4575	4.89022442511458e-21
"GO_5_3_EXONUCLEASE_ACTIVITY"	-0.0100642804201156	1	0.0147869091094182	-0.680620969916245	4575	1
"GO_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY"	0.0721859531875528	0.00363462080633187	0.0147490798740637	4.89426823936941	4575	1
"GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS"	-0.0582698417612778	0.23416675620266	0.014762531882866	-3.94714417713863	4575	1
"GO_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III"	-0.00606566982133754	1	0.0147873860085555	-0.410192160928791	4575	1
"GO_5S_RRNA_BINDING"	-0.168264276152235	1.49038764788324e-26	0.0145768144398963	-11.5432817537761	4575	1.05862234629147e-22
"GO_7S_RNA_BINDING"	0.0450970606827655	1	0.0147726132322467	3.05274767394061	4575	1
"GO_7SK_SNRNA_BINDING"	-0.0983347994968502	1.24821157972063e-07	0.0147159880180522	-6.68217447419924	4575	0.000591028182997719
"GO_90S_PRERIBOSOME"	0.0782446915580167	0.000446881035806899	0.0147423218162912	5.3074876897309	4575	1
"GO_9PLUS0_NON_MOTILE_CILIUM"	-0.110058307476841	4.34210133945298e-10	0.0146978249836876	-7.4880676289852	4575	2.26093216745317e-06
"GO_9PLUS2_MOTILE_CILIUM"	-0.0613677393064597	0.100337840114203	0.014759786625843	-4.15776602075063	4575	1
"GO_A_BAND"	0.0185019628228124	1	0.0147851267557731	1.25139020641727	4575	1
"GO_ABSCISSION"	-0.0906532666035174	3.5790129217701e-06	0.0147267700988771	-6.15567880769929	4575	0.0157834469850062
"GO_ACETATE_ESTER_TRANSPORT"	-0.15077459428557	7.4611817594547e-21	0.01461860801697	-10.3138817396665	4575	4.90721924319336e-17
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS"	0.0468819437874392	1	0.0147713980880395	3.17383253149205	4575	1
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE"	-0.00312172114331447	1	0.0147875859933099	-0.211104175132221	4575	1
"GO_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY"	0.0598180794891196	0.154202226844075	0.0147611777196969	4.05239206688095	4575	1
"GO_ACETYL_COA_HYDROLASE_ACTIVITY"	-0.0146875771828735	1	0.0147860629281739	-0.993339285394712	4575	1
"GO_ACETYL_COA_METABOLIC_PROCESS"	0.0133591104668742	1	0.0147863384426753	0.903476578644927	4575	1
"GO_ACETYLCHOLINE_BINDING"	-0.215788024886181	2.00229182034446e-45	0.0144392642670209	-14.9445304757693	4575	1.6502889183279e-41
"GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY"	-0.214644939346101	6.52682448743708e-45	0.014442989487435	-14.8615312316633	4575	5.36178631642957e-41
"GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX"	-0.21174421673238	1.271976996898e-43	0.0144523496492012	-14.6511966477425	4575	1.03831482256784e-39
"GO_ACETYLCHOLINE_METABOLIC_PROCESS"	-0.298013154088665	1.6869271502925e-90	0.0141157329410858	-21.1121275340408	4575	1.63581325763864e-86
"GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY"	-0.218176735878358	1.65506132402324e-46	0.0144314126355853	-15.1181829102699	4575	1.37121830695326e-42
"GO_ACETYLCHOLINE_RECEPTOR_BINDING"	-0.0612534763181117	0.103555353719021	0.0147598904165313	-4.14999533123272	4575	1
"GO_ACETYLCHOLINE_RECEPTOR_INHIBITOR_ACTIVITY"	-0.0832269721226274	7.01076604698919e-05	0.0147363540016234	-5.6477315972091	4575	0.285057747470581
"GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY"	-0.0387709356008655	1	0.0147765395713629	-2.62381699136136	4575	1
