""	"Hyperexpanded"	"Large"	"Medium"	"Small"	"Single"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.13512508836368	-0.156966856831089	-0.153048765140933	-0.154191501197387	-0.152615226633622	-0.152257885488637	4948.63732192115	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.188508948199792	0.197438145473213	0.197859395097776	0.198366268869195	0.205845798099191	0.199902038293091	22247.19347285	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	-0.0235031579740134	-0.0384138649815715	-0.0426170479086394	-0.041908257460803	-0.0327517871997436	-0.0365798161948229	567.427430855555	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0473497734754388	0.0536939197262939	0.0570832302941187	0.0619096278485131	0.0665321458556084	0.0598545389393365	934.454560164608	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.237957233857109	0.248875431396356	0.247922265836849	0.249036491143897	0.246625066952158	0.246973177522291	59471.8577204478	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.034179630256081	0.0289212861619399	0.0283729487875805	0.0290874446839748	0.027945460341011	0.028950026969018	425.6302911646	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.122111910886692	0.124751208240025	0.124627043259786	0.126636804461119	0.12567371149014	0.125165255242028	23320.7163337057	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.0948766366771002	0.0831651405921819	0.0808667853148726	0.0797605803144584	0.0788510713380782	0.0815762215627007	4276.19202476775	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0481804982597974	0.0379219339617946	0.0382832149001052	0.0393914583406672	0.0458808785200421	0.0419693438601614	1588.06904990083	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-0.0203342037453197	-0.0135025463322479	-0.0143322169383254	-0.0138081493053049	-0.0172310116937623	-0.0156359324029503	350.299932439516	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.0619586345898743	0.0395866529211155	0.0408588175639817	0.0413963785877497	0.0469658351979578	0.0447167142416452	756.479413348393	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0424087302863463	0.0390082955507067	0.0391870349046769	0.0402763313732601	0.0408464250831383	0.0402181168237649	3676.5259089289	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.201477733874969	-0.219128711469302	-0.215565488294227	-0.219565908081869	-0.218392293757127	-0.216713451724669	8009.58590266947	0	0
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	0.0449989199491497	0.0316786504225741	0.0287462847427225	0.0318221841771534	0.0450215334601444	0.0370087379936946	549.945381751892	0	0
"GO_3_5_EXONUCLEASE_ACTIVITY"	0.083345759867404	0.0736822932250254	0.0730386181588781	0.0731338050124748	0.0796056771088181	0.0763930352238244	11131.8344078658	0	0
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.158712975374962	-0.158055979264424	-0.157555848669058	-0.156963506548135	-0.155678695554453	-0.156972958576488	17794.0676270999	0	0
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.134142030548152	-0.155403282141937	-0.159227522727528	-0.159612064241243	-0.158989890005266	-0.156356965648984	8245.36666211501	0	0
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	0.0897180652407581	0.0563472008005437	0.0573874151286958	0.0533495049546024	0.0550107633927946	0.0584225397432839	626.785885067919	0	0
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.232771960268897	0.222166258481661	0.222493126736239	0.218641401405043	0.22125552617992	0.222189844811426	33665.266826889	0	0
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.0923381871676449	-0.0950011834485034	-0.0974588799545187	-0.0978603803272191	-0.0915515969202678	-0.0945493230078689	2119.64503116103	0	0
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.221022476953115	0.207060218013401	0.206641889347099	0.205773817723253	0.199274860773342	0.205188071215515	29340.2080066894	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	0.111769651364937	0.103306767845362	0.101253988480717	0.100991540659679	0.0919703673342365	0.0991892895375035	5031.97657957268	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	0.160581589839349	0.163029434732014	0.161923774633741	0.164699584187858	0.159560371606153	0.161667378686844	32534.9392452301	0	0
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	0.0690899359492612	0.075492443825032	0.0736125924709518	0.0736876388606162	0.0710864310154194	0.0726772622478392	8749.61354943437	0	0
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	0.22829929532882	0.220599848670106	0.220729396280007	0.226105432003055	0.227546254482424	0.224746843037266	40171.3704239662	0	0
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	0.110325696910395	0.0957754805870493	0.0977588688604651	0.0987627646372094	0.105191327282364	0.101306053244525	7252.76983051944	0	0
"GO_3M_COMPLEX"	0.132053734417015	0.140869136174727	0.141634688944055	0.141669591510804	0.137417909654455	0.139178732652393	17068.1633471588	0	0
