""	"T_statistic"	"CI_low"	"CI_high"	"mean_No"	"mean_Yes"	"p.value"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	3.25009292184251	0.00231013453826587	0.00933326868627096	-0.148620459142844	-0.154442160755113	0.00116084306329303	1
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	1.98662716943392	4.50442349171422e-05	0.00678110573264462	-0.00181563366833909	-0.00522870865211997	0.0470147801147695	1
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	-3.88830565508354	-0.00870112361726738	-0.00286821764686655	0.0153757708467087	0.0211604414787757	0.000102049316487441	0.753328054310288
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-2.13206343946401	-0.00444201833567609	-0.00018635061825362	0.198402067423944	0.200716251900909	0.0330440521471387	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	4.5206801006516	0.00327185516196148	0.00828231126870264	-0.033648694427346	-0.0394257776426781	6.29171591483221e-06	0.0500191415229161
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	-1.38491915799826	-0.0052855101330753	0.000909215142413191	0.0582285176374193	0.0604166651327504	0.166131133620578	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	2.03403392114501	6.17470654040995e-05	0.00334919232542527	0.24852417503661	0.246818705341195	0.0419955873261357	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	1.62601927603478	-0.000383178336715557	0.00410983493601955	0.0302402896096485	0.0283769613099965	0.104003049462345	1
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.239736631140374	-0.00145653697459101	0.00113911258441921	0.125178592323923	0.125337304519009	0.810543040745406	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.191730623077579	-0.0018503480379153	0.00225151806044392	0.0826217849982289	0.0824211999869646	0.847960355324852	1
"GO_14_3_3_PROTEIN_BINDING"	1.14081932852314	-0.000732128750256753	0.00277041637808678	0.0399228583794404	0.0389037145655254	0.253990353486044	1
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-1.00521089898296	-0.00196583147737819	0.000633146811333508	-0.0157376302516502	-0.0150712879186278	0.314834332275251	1
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	-2.61106533048549	-0.00604033362981113	-0.00085980741051372	0.0418655653257051	0.0453156358458675	0.00904799625025247	1
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	1.44708153104037	-0.000273341545790602	0.0018145329780265	0.0402750540128961	0.0395044582967781	0.147929372679297	1
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	-2.52390091015033	-0.00522275744827664	-0.000656346062574722	0.0197974631769229	0.0227370149323485	0.0116318140717134	1
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-2.17069746441078	-0.00811631271166545	-0.000413220707947812	-0.219214993484572	-0.214950226774765	0.0299946497419998	1
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	-0.737921822004387	-0.00227443602276355	0.00103043136982323	0.0164589120329117	0.0170809143593818	0.460593015521399	1
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	0.586309485545567	-0.00122081955026299	0.00226264232683668	0.00286924556792568	0.00234833417963883	0.557691734146085	1
"GO_3_5_DNA_HELICASE_ACTIVITY"	-5.42668727620468	-0.00788272362066239	-0.0036990233210359	-0.00426246039249053	0.00152841307835862	5.92838364081916e-08	0.000509840993110448
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	-5.8317679399909	-0.0101265546909417	-0.0050312317130061	0.0310871841304933	0.0386660773324672	5.77167879548876e-09	5.09985538369387e-05
"GO_3_5_EXONUCLEASE_ACTIVITY"	-5.06345338804827	-0.00407634098016642	-0.00180092376039852	0.0743903716653736	0.0773290040356561	4.23577927099953e-07	0.0035402643147014
