""	"T_statistic"	"CI_low"	"CI_high"	"mean_Yes"	"mean_No"	"p.value"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.873205608825434	-0.00477319919009201	0.00183131750147457	-0.116411365774976	-0.114940424930667	0.382584625958114	1
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	0.899733366664717	-0.00168646537926443	0.004547793040163	0.029105162709895	0.0276744988794457	0.368296343877264	1
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	4.95704585102786	0.00431935890761572	0.00997061874425778	0.054675689611178	0.0475307007852413	7.35610250140496e-07	0.00458726551987613
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-0.920982537065671	-0.00273039829625067	0.000984917196872168	0.197585815026074	0.198458555575763	0.357094981238672	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	-8.4140921138949	-0.0124246817171447	-0.00772919873320426	-0.00814692476195397	0.0019300154632205	4.81922911164613e-17	4.27706583658594e-13
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.540589922472899	-0.00212485169186724	0.003742978659245	0.0900846887765022	0.0892756252928133	0.588809688398745	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	-3.01403249869604	-0.00360622426408187	-0.000763854096046393	0.224620703675665	0.226805742855729	0.00258922281745571	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	-1.68419838203822	-0.00396341669211109	0.000300302103033557	0.0610907401424103	0.0629222974369491	0.0921927292823666	1
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.496348175045572	-0.00155461041338243	0.000926426967795854	0.154018992036903	0.154333083759696	0.619666454799868	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	5.44834698984208	0.00353890096461525	0.00751691163722077	0.116703646146031	0.111175739845113	5.29651956933388e-08	0.000355237567515224
"GO_11_CIS_RETINAL_BINDING"	-9.52892803295733	-0.00694397019742148	-0.00457412076630687	0.333969039077234	0.339728084559099	2.71976452379389e-21	2.55277098203295e-17
"GO_14_3_3_PROTEIN_BINDING"	-1.29051463320733	-0.00279886745644676	0.000576722146698307	0.0697020577390466	0.0708131303939209	0.196924264761686	1
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-2.95708804376258	-0.00330952220517903	-0.000670781637986708	0.0615691778259817	0.0635593297475646	0.00311894615597452	1
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	7.88243607571152	0.00829450592153961	0.0137860660902986	0.0829723861601575	0.0719321001542384	3.85866202066495e-15	3.31420480954912e-11
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	-4.2577914287261	-0.00310120362517324	-0.00114582811437395	0.0690433207186786	0.0711668365884522	2.09366522909563e-05	0.114879411120477
