""	"K"	"P"	"T"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"HALLMARK_ADIPOGENESIS"	0.180752911749329	0.202771891780086	0.210157567076548	0.205712540433525	43621.2570744897	0	0
"HALLMARK_ALLOGRAFT_REJECTION"	0.374890536921412	0.423056210812341	0.435631261751164	0.427596236784777	141762.745500356	0	0
"HALLMARK_ANDROGEN_RESPONSE"	0.27434513349331	0.316052662861442	0.315202660599687	0.313779708860996	85546.3288363038	0	0
"HALLMARK_ANGIOGENESIS"	0.275028089343439	0.238470768464743	0.226714475526348	0.233855880524318	55863.3830426457	0	0
"HALLMARK_APICAL_JUNCTION"	0.0643047639418001	0.0933499521567176	0.0904727136821143	0.0905592456455338	19477.7424105592	0	0
"HALLMARK_APOPTOSIS"	0.246697439724606	0.307906604481791	0.329409648608496	0.316594884857854	88828.7356161366	0	0
"HALLMARK_BILE_ACID_METABOLISM"	0.177074376685948	0.164855010251568	0.16398079582236	0.164927279865011	54661.0012909347	0	0
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.12598306696691	0.141398882833586	0.159695656707365	0.150394965289816	23711.288552988	0	0
"HALLMARK_COAGULATION"	0.127360082229482	0.114790985602001	0.105581050853473	0.110472976785159	35633.4296731905	0	0
"HALLMARK_COMPLEMENT"	0.251769932328558	0.276966328178884	0.288052862772441	0.281724007860351	118191.544616835	0	0
"HALLMARK_DNA_REPAIR"	0.0799644985745377	0.147709693615396	0.161764579303309	0.152175698815587	14092.5092984346	0	0
"HALLMARK_E2F_TARGETS"	0.0638927426194889	0.10387938832022	0.114094203630411	0.107529627493445	12890.2222388921	0	0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.269581454533363	0.263830975474936	0.251715168510326	0.257679010992393	144489.749899907	0	0
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.0648084647693431	0.0883131466259463	0.0881222155168252	0.0871844650080044	18764.477137617	0	0
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.07758365123634	0.100457153123826	0.115757886698299	0.107543680481794	24753.6138930243	0	0
"HALLMARK_FATTY_ACID_METABOLISM"	0.280438538883703	0.310294349311795	0.314723485049818	0.311329741128001	113168.16068103	0	0
"HALLMARK_G2M_CHECKPOINT"	0.0895071463979894	0.143337590325679	0.145670114204062	0.14221656642426	26597.0518755982	0	0
"HALLMARK_GLYCOLYSIS"	0.2630462130841	0.289248495475134	0.287442456429033	0.287148245760666	141290.580122334	0	0
"HALLMARK_HEME_METABOLISM"	0.161718118017012	0.197697400298603	0.189714924739576	0.191905286804523	57708.1015543721	0	0
"HALLMARK_HYPOXIA"	0.230592043676427	0.304603171414783	0.316903961151159	0.307868121241266	115142.52959256	0	0
"HALLMARK_IL2_STAT5_SIGNALING"	0.260231722644038	0.301024332482929	0.304444741249661	0.301048369765928	133921.759456141	0	0
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.197277293271333	0.242728863434887	0.24364179855529	0.241223939194792	49495.205489233	0	0
"HALLMARK_INFLAMMATORY_RESPONSE"	0.205035354093517	0.234069186439412	0.236494636287099	0.234081537986373	109960.779438279	0	0
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	0.333115482649764	0.376646842181958	0.3728762041307	0.372750532966198	101500.295032206	0	0
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	0.251726411773807	0.314964295899246	0.341038021126612	0.325979551181229	85321.9476726207	0	0
"HALLMARK_KRAS_SIGNALING_DN"	0.101353782042997	0.0765177262944719	0.0781069159467886	0.0784436274457269	23951.8194382415	0	0
"HALLMARK_KRAS_SIGNALING_UP"	0.240035080070244	0.261927165617701	0.259650526698956	0.259766664501727	145860.799794491	0	0
"HALLMARK_MITOTIC_SPINDLE"	0.0900635423517805	0.138243614040582	0.130190091335417	0.131880456320281	28682.7617105549	0	0
"HALLMARK_MTORC1_SIGNALING"	0.25351663534757	0.330511467533699	0.350420516202748	0.33766704622137	89532.4578623345	0	0
"HALLMARK_MYC_TARGETS_V1"	0.382729229144652	0.503653220044271	0.491228078818185	0.491798769375939	81911.1164030068	0	0
"HALLMARK_MYC_TARGETS_V2"	0.131172436272496	0.170665090230237	0.169160757240655	0.168143159408694	16495.7946136928	0	0
"HALLMARK_NOTCH_SIGNALING"	0.265412373260655	0.25614982417261	0.254404378193535	0.255632342512614	31537.7766256197	0	0
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	0.27835741101075	0.265881331077307	0.285361929790838	0.276722692827936	29396.0088309102	0	0
"HALLMARK_P53_PATHWAY"	0.16041295675051	0.202240488250662	0.220653941801889	0.210143353008719	54540.7023563995	0	0
"HALLMARK_PANCREAS_BETA_CELLS"	0.227683485802625	0.233030145897174	0.223041442037042	0.227517155677989	31503.5051406596	0	0
"HALLMARK_PEROXISOME"	0.289535072151938	0.301143748196588	0.303356413441452	0.301805575932416	91060.2260808067	0	0
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.209425819441481	0.300120681327429	0.299513699155604	0.295834135952631	50708.9129838442	0	0
"HALLMARK_PROTEIN_SECRETION"	0.222030250516453	0.286666151184389	0.289210147088972	0.285184411918442	39867.7839386538	0	0
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	0.125440812828085	0.187189556990424	0.182426742183785	0.181972287728106	9163.30959571712	0	0
"HALLMARK_SPERMATOGENESIS"	0.190073643205206	0.184145578336063	0.16893582994956	0.176366178032912	68309.7216441047	0	0
"HALLMARK_TGF_BETA_SIGNALING"	0.188855092825951	0.250007114006535	0.263175361720891	0.254292810541588	36645.4428028958	0	0
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.243841134171608	0.319326645665391	0.36341446254728	0.339327113971111	83383.8063396019	0	0
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.214587149561036	0.315952592595279	0.316486755073731	0.311802577346652	52640.3174835815	0	0
