""	"Var.Imp"
"iglv2_8"	0.00669846321202515
"iglv1_44"	0.668297580258058
"malat1"	45.6363141909197
"iglv1_47"	0.0607853964269782
"actb"	223.834789876419
"iglv3_1"	13.8900295198854
"iglv1_40"	0.111558329996591
"ighv1_3"	3.51462557635165
"tmsb4x"	246.125961872115
"eef1a1"	949.200227467904
"ighv4_59"	0.10086807111697
"b2m"	79.8600590336753
"mt_co2"	199.207345597626
"cd74"	3701.75266598988
"ighv1_69_2"	1.29951936783345
"rplp1"	142.294301150869
"mt_co1"	56.0745893786331
"tmsb10"	79.6778824646219
"mt_co3"	182.167927629974
"gapdh"	54.087536694693
"ighv3_48"	1.50956134721274
"hspa1a"	45.5782615752303
"rps12"	978.958322277787
"rpl10"	150.263779595905
"ac090498_1"	66.5630777931696
"rps27"	310.160034284755
"ighv4_61"	1.44408250176987
"mt_atp8"	365.984208302029
"ftl"	62.3806942546825
"igkv1_5"	0.0995390930827992
"ptma"	53.8512152875359
"iglv1_51"	0.058420729127706
"hla_b"	61.4848728757502
"actg1"	127.11978189268
"rpl28"	77.0920631395465
"fos"	1168.81570107896
"mt_atp6"	138.73142257661
"igkv3_20"	4.21002222397025
"pfn1"	49.9395081441297
"ccl4"	295.088758611748
"rps18"	498.53590463662
"rpl13"	337.490789878393
"jun"	551.278865109337
"tuba1b"	39.3666433881977
"rps8"	91.4835019534096
"rpl32"	751.033407623277
"rps15a"	89.7485497791853
"hla_a"	51.7214805524521
"rps19"	78.7048495047944
"mt_cyb"	165.061147847769
"mt_nd4"	94.1856284071072
"rpl30"	102.885738641976
"rplp0"	55.686276230887
"vim"	67.0000315015239
"tpt1"	320.426673629891
"rpl39"	345.747321639603
"mt_nd4l"	88.5787867801689
"rps3"	561.097480537692
"hsp90aa1"	103.952682350518
"rps23"	377.422777893557
"rpl19"	148.921547656112
"rps2"	88.4107299631578
"rps27a"	150.431093634803
"jchain"	2.22015342510349
"rps28"	222.340873942535
"rpl11"	120.788490007723
"rps14"	969.256606717168
"rps26"	112.675679011061
"ighv3_23"	0.143888929090804
"rps6"	197.871921021356
"junb"	726.562753182999
"dnajb1"	272.21903246284
"rps3a"	4727.52825504877
"gnly"	1378.57383827534
"rpl34"	3298.19770384857
"hist1h4c"	56.0088070559194
