""	"Var.Imp"
"iglv2_8"	0.123412867844107
"iglv1_44"	0.912110002878279
"malat1"	31.5138369642467
"iglv1_47"	0.0611430167657704
"actb"	197.674321742066
"iglv3_1"	28.0592495099744
"iglv1_40"	0
"ighv1_3"	3.10302205416025
"tmsb4x"	97.039904680254
"ighv4_59"	1.93404015052229
"eef1a1"	926.562651863743
"b2m"	63.6515675862319
"mt_co2"	171.656720646944
"cd74"	10253.1966485438
"ighv1_69_2"	0.0765954245715135
"mt_co1"	54.1798782554564
"rplp1"	122.197599493428
"tmsb10"	85.0351378821318
"mt_co3"	230.329378303767
"gapdh"	41.9501953922756
"ighv3_48"	0.283335771504027
"hspa1a"	84.4019425415527
"ighv4_61"	0.653006848171726
"ac090498_1"	126.669475271287
"rps12"	277.900979055075
"rpl10"	142.422072865562
"rps27"	75.7252570324096
"mt_atp8"	167.707623537564
"ftl"	59.6611071356572
"igkv1_5"	3.96312285643694
"ptma"	50.4634964453084
"iglv1_51"	0.0737352827331921
"actg1"	74.5180736035531
"hla_b"	41.5358063267857
"fos"	1673.82822998531
"igkv3_20"	0.595383829415427
"mt_atp6"	121.720874640051
"rpl28"	46.8139612591262
"pfn1"	56.0160212172425
"ccl4"	268.628535790302
"jun"	402.007221452224
"tuba1b"	19.9156321916304
"rps18"	242.707796792005
"rpl13"	243.090305381155
"rps15a"	103.86961430336
"rps8"	97.4133487357796
"rpl32"	228.434172390906
"hla_a"	36.3666297658251
"mt_cyb"	77.0734960844966
"mt_nd4"	94.1327238914559
"rps19"	69.0774960190329
"vim"	42.2005462749544
"rplp0"	81.0865509151721
"rpl30"	49.3269843059075
"mt_nd4l"	90.196664893813
"tpt1"	111.019067364357
"hsp90aa1"	188.162385065704
"rpl39"	160.139860965918
"rps3"	385.40519741514
"jchain"	1.3096111009924
"rpl19"	116.56860258445
"rps26"	68.5735079742459
"rps2"	67.6361794305632
"ighv3_23"	0.844773377184837
"rps23"	96.3706803953152
"rps28"	220.382802010582
"rps27a"	116.851150549216
"rps14"	165.600392949431
"rpl11"	82.0846166337743
"dnajb1"	843.438471646264
"junb"	828.5924948846
"rps6"	279.886801583678
"gnly"	1383.11384791411
"hist1h4c"	33.0749359510861
"dusp1"	247.733701244509
"hla_drb1"	322.066064398441
"ppia"	41.6040648286788
"rps3a"	3294.99970535644
"fth1"	48.6439375497273
"rpl41"	72.77763265573
"nkg7"	213.471696516392
"igha1"	2.37088853120868
"rps4x"	70.4235591473704
"rpl34"	516.361368432683
"rpl18a"	66.6354793888319
"igll5"	0.138651373270054
"hla_c"	86.0061318635406
"ch17_262h11_1"	0
"rpl37"	215.458046310894
"tubb"	19.1906303271429
"ccl4l2"	25.8174391930264
"hspa1b"	236.899892035411
"ighg2"	0.23165653545996
"ccl5"	59.2754796102991
"ighv3_33"	0.116058640587544
"rpl12"	49.5821575176201
"ighv3_30"	0.174434073203484
"mt_nd3"	90.0854782321872
"hmgb1"	30.15922690857
"rps15"	125.50948500312
"rps13"	79.3664797112292
"cfl1"	62.7850081573051
"rpl26"	98.7825385858126
"iglc2"	5.91381504127077
"rpl3"	2089.89005997417
"rpl7a"	59.9894230246484
"cxcl13"	0.517775327628976
"ighv4_4"	0
"zfp36"	132.553766264818
"rps24"	33.0958823921849
"hmgn2"	21.0753529630239
"rplp2"	126.975088964797
"rps10"	95.4561872705394
"hspa6"	11.3774730251061
"rpsa"	44.7187161045708
"mt_nd1"	72.9043092398159
"rps7"	63.2685876603886
"mt_nd2"	55.9796670941592
"rps21"	66.0386984604212
"rpl15"	72.2402903450399
"h3f3b"	71.0244575584278
"crip1"	32.8806035870172
"rpl13a"	53.5153472180712
"gzmk"	638.409865466259
"rps29"	118.680659950305
"rpl23a"	39.7822215086172
"rpl18"	48.0735072331812
"s100a4"	147.352899440736
"rpl8"	83.8634554945516
"rpl29"	71.8095050982718
"il32"	29.6852973373227
"rpl35a"	56.157202090941
"rpl14"	65.5920986976029
"rpl36"	82.8965454215509
"rpl21"	188.897996761273
"rps25"	61.8379786006689
"rpl6"	89.780980862857
"gpx3"	15.0823768195117
"stmn1"	7.56887217733836
"rpl37a"	60.1012907087712
"rps16"	59.980446669378
"ier2"	112.157594575337
"mt_nd5"	98.5615527510168
"rps5"	129.712393289119
"rgs1"	1431.34216515871
"cd69"	157.731109769955
"rpl17"	68.0873859803191
"lgals1"	21.6228630064805
"rps9"	36.8387393252407
"hla_dra"	278.859916561769
"rpl35"	57.0393552935618
"fau"	40.2350726641363
"hmgb2"	15.5567809321954
"rpl5"	55.0893417205264
"hspa8"	168.21492047343
"coro1a"	81.3513871603764
"eif1"	68.5441829668339
"sub1"	19.9220663293022
"sh3bgrl3"	34.5804094000006
"gnb2l1"	39.1329072825142
"rpl10a"	40.9722696912515
"ubc"	106.231900271807
"ccl3"	5.92339251818006
"igkc"	4.97422175501828
"btg1"	70.1849899458484
"myl6"	33.2443048296041
"npm1"	41.0164032552356
"srgn"	81.3029030824052
"cst7"	48.4436743980852
"arhgdib"	35.7060752572919
"hla_drb5"	49.8657142679839
"h3f3a"	30.622995019112
"cd52"	80.4012761746041
"klf6"	83.5199682110335
"h2afz"	19.6066781299905
"rpl9"	75.5774714786197
"cxcr4"	92.9803439065239
"tsc22d3"	133.360147412709
"dusp2"	68.6513813707922
"mt1g"	11.4640454211076
"rpl27a"	46.1252801759936
"gzma"	142.671914554214
"rpl24"	36.3121753026441
"hsp90ab1"	90.4766546340863
"rpl7"	55.3269467223535
"ppib"	17.3223603175804
"s100a6"	39.7033203685158
"naca"	89.241318917187
"atp5e"	33.8473270961162
"rpl22"	53.2079722743754
"hsp90b1"	15.0326916635488
"hnrnpa1"	32.3536582521978
"mt2a"	22.8887815397715
"rpl4"	114.721089340521
"hnrnpa2b1"	34.1968708255045
"cotl1"	120.283673844185
"hbb"	10.426976547868
"uba52"	51.1113688501193
"eef1b2"	42.0488362473691
"serf2"	30.6305680689384
"rpl27"	46.7228404743552
"hla_dpa1"	52.5078638031663
"hspe1"	34.4314856900944
"trbv20_1"	3.70527147786798
"calm1"	61.3133895123269
"rpl31"	45.2732440517286
"zfp36l2"	39.8711718764664
"rps17"	35.0968879312905
"igha2"	2.50066273200948
"ubb"	45.0223141008852
"hla_dqa1"	63.5201196731389
"mif"	20.1317982397819
"iglc3"	4.0297897266194
"txnip"	90.8617367104535
"nfkbia"	84.4589660968319
"ybx1"	35.2215095309405
"anxa1"	193.770542019837
"rps20"	37.555341901519
"pkm"	20.9827529401376
"atp5l"	20.497228231741
"chchd2"	23.5716159722811
"fxyd2"	11.0332345359011
"egr1"	191.566626138073
"myl12a"	38.4113335542656
"arpc2"	27.886952998616
"ighv4_34"	0.588333214896533
"ighv3_15"	0
"ighv3_11"	0
"eef2"	39.912906505039
"btf3"	28.1191596714245
"hla_e"	44.5179846226809
"clic1"	36.6945187732138
"oaz1"	29.0365699933033
"rpl38"	47.7770260881038
"arl6ip1"	12.3650545002845
"trdv1"	3.50722073915861
"slc25a5"	17.1591589469294
"gzmb"	125.239495235758
"pabpc1"	44.8052015153299
"ifitm1"	91.2967556507368
"rac2"	55.0697160261762
"tpi1"	21.3488751569824
"iglv2_5"	0
"eef1g"	45.8551848966569
"sat1"	30.7515651309106
"hint1"	47.3849717193783
"eno1"	17.4577093708581
"tma7"	31.2439274316592
"s100a10"	101.663888961594
"cmc1"	53.2390370517191
"ptprcap"	41.9087542770289
"cox7c"	31.2885101263941
"rhoa"	30.8642937521946
"ran"	14.3774683650757
"tnfaip3"	42.3844546827106
"eef1d"	34.9149725355763
"calm2"	19.2315885607566
"cd8a"	46.754195030699
"ighg4"	0.556584647317703
"srsf7"	71.6121148987635
"calr"	15.2937486609307
"gzmh"	81.1186158921543
"cd3e"	27.8070585211105
"ifng"	20.3390642476015
"ldhb"	56.2002119202472
"aldoa"	26.6973973512409
"iglv3_19"	0.072579854188876
"arpc1b"	24.1806144572635
"atp5g2"	20.9203325861165
"hla_dpb1"	55.9402747167455
"ldha"	35.7751811036709
"igkv1_17"	0.522846021978362
"cd3d"	39.5236225993039
"sumo2"	30.3524618970715
"xcl1"	7.53259869511945
"trbv7_2"	0.8421433100692
"cox4i1"	29.3934900277829
"lsp1"	25.4724529100579
"cox8a"	21.1587518531756
"rpl36al"	48.1621125304623
"rps11"	35.9005236954009
"ppdpf"	26.2218286072667
"ywhaz"	29.9063729318651
"hist1h1e"	19.7211543992563
"gadd45b"	54.8889252177732
"ddx5"	33.1476381501164
"nme2"	18.2012967316307
"cd99"	39.1081852829885
"igkv1_33"	0.0174189728234868
