""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"S100A12"	0	4.16423207010617	0.881	0.039	0	"0"	"S100A12"
"S100A8"	0	4.09585810629262	0.96	0.123	0	"0"	"S100A8"
"S100A9"	0	3.91746683251754	0.968	0.154	0	"0"	"S100A9"
"VCAN"	0	3.40652662651234	0.921	0.076	0	"0"	"VCAN"
"LYZ"	0	2.78624764712776	0.979	0.225	0	"0"	"LYZ"
"MNDA"	0	2.55010922531108	0.867	0.147	0	"0"	"MNDA"
"CSF3R"	0	2.53187591421108	0.821	0.107	0	"0"	"CSF3R"
"CD36"	0	2.51371832726345	0.702	0.067	0	"0"	"CD36"
"CSTA"	0	2.51272167764586	0.88	0.13	0	"0"	"CSTA"
"RBP7"	0	2.48185663673543	0.501	0.038	0	"0"	"RBP7"
"FCN1"	0	2.45172934759701	0.933	0.109	0	"0"	"FCN1"
"PLBD1"	0	2.3944809669546	0.627	0.088	0	"0"	"PLBD1"
"CDA"	0	2.34562594743657	0.499	0.039	0	"0"	"CDA"
"NCF2"	0	2.24084150429587	0.779	0.119	0	"0"	"NCF2"
"CD14"	0	2.15547110573109	0.846	0.107	0	"0"	"CD14"
"ASGR1"	0	2.10640493598074	0.472	0.049	0	"0"	"ASGR1"
"BST1"	0	2.07960468456205	0.401	0.035	0	"0"	"BST1"
"RP11-1143G9.4"	0	2.05650690774576	0.345	0.037	0	"0"	"RP11-1143G9.4"
"TNFAIP2"	0	2.01493348162816	0.615	0.091	0	"0"	"TNFAIP2"
"FPR1"	0	2.00948818902029	0.689	0.117	0	"0"	"FPR1"
"CLEC4E"	0	1.99560580401568	0.443	0.049	0	"0"	"CLEC4E"
"SLC11A1"	0	1.98132282206738	0.711	0.113	0	"0"	"SLC11A1"
"CYP1B1"	0	1.97600717400831	0.235	0.012	0	"0"	"CYP1B1"
"RETN"	0	1.97578765937521	0.249	0.019	0	"0"	"RETN"
"CD300E"	0	1.9751413064399	0.492	0.058	0	"0"	"CD300E"
"TREM1"	0	1.96508981689025	0.406	0.053	0	"0"	"TREM1"
"CD302"	0	1.95587486404431	0.752	0.143	0	"0"	"CD302"
"PGD"	0	1.94619315502419	0.753	0.203	0	"0"	"PGD"
"NRGN"	0	1.93823964567166	0.327	0.031	0	"0"	"NRGN"
"LRP1"	0	1.93583104701449	0.558	0.081	0	"0"	"LRP1"
"MPEG1"	0	1.93515680102442	0.668	0.119	0	"0"	"MPEG1"
"MCEMP1"	0	1.91541831337838	0.25	0.01	0	"0"	"MCEMP1"
"CFP"	0	1.90717798177537	0.733	0.115	0	"0"	"CFP"
"CTSS"	0	1.89590307165361	0.978	0.467	0	"0"	"CTSS"
"CLEC12A"	0	1.89380963859446	0.553	0.088	0	"0"	"CLEC12A"
"THBS1"	0	1.87844794192543	0.15	0.022	0	"0"	"THBS1"
"CD93"	0	1.8771429454677	0.426	0.061	0	"0"	"CD93"
"APLP2"	0	1.87345865924948	0.859	0.253	0	"0"	"APLP2"
"CFD"	0	1.86850272268227	0.836	0.142	0	"0"	"CFD"
"NFE2"	0	1.86564287898151	0.219	0.011	0	"0"	"NFE2"
"CES1"	0	1.84157448642678	0.262	0.023	0	"0"	"CES1"
"GCA"	0	1.83897516600629	0.565	0.141	0	"0"	"GCA"
"PRAM1"	0	1.83231305041362	0.486	0.077	0	"0"	"PRAM1"
"NRG1"	0	1.82941683541681	0.23	0.009	0	"0"	"NRG1"
"CYBB"	0	1.81591180876888	0.8	0.175	0	"0"	"CYBB"
"ASGR2"	0	1.80088977229188	0.269	0.023	0	"0"	"ASGR2"
"F13A1"	0	1.79809763711318	0.337	0.039	0	"0"	"F13A1"
"RNASE2"	0	1.79414589763163	0.262	0.023	0	"0"	"RNASE2"
"PYGL"	0	1.79112280629645	0.342	0.045	0	"0"	"PYGL"
"DMXL2"	0	1.78926801347695	0.454	0.067	0	"0"	"DMXL2"
"C19orf38"	0	1.78529669279977	0.53	0.093	0	"0"	"C19orf38"
"TKT"	0	1.78165900133635	0.93	0.409	0	"0"	"TKT"
